frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,5,13,5,1.17,0.66,0.77,1,61,61,0.16721999999999995,0.12645789443289185,0.02959416847250388,1.063247828934318,2,2.5,1,2.5
6,10,19,3,0.66,0.57,0.77,1,25,25,0.07813999999999999,0.1744145601357527,-0.03221379610278126,-1.015536371240207,2,2.5,1,2.5
11,16,12,4,0.762,0.762,0.762,1,58,58,0.16135999999999998,-0.17942814289773285,-0.16096600930941135,0.10556703768454655,2,2.5,1,2.5
17,17,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.04036105683162544,-0.02273705768137891,0.40248664406986695,2,2.5,1,2.5
18,25,14,6,0.915,0.915,0.915,1,77,77,0.21306999999999998,-0.05602392675079873,0.14220055117385158,1.0125648531891596,2,2.5,1,2.5
26,27,1,1,0.457,0.457,0.457,1,6,6,0.02144,0.05035446428095848,-0.02082554260603559,0.5121764614616691,2,2.5,1,2.5
28,28,17,1,0.457,0.457,0.457,1,5,5,0.015460000000000002,0.04814842154891703,0.028772716754663027,-0.28892100866419446,2,2.5,1,2.5
29,29,16,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,0.017368319879600393,0.042300117385232885,0.6984053949791843,2,2.5,1,2.5
30,34,20,4,0.762,0.762,0.762,1,49,49,0.13557999999999998,0.060101532546005206,-0.1410085009863493,0.34682504122467084,2,2.5,1,2.5
35,37,11,3,0.77,0.66,0.57,1,19,19,0.05348999999999998,0.1360618939826411,0.3033973217055742,0.6229219040604639,2,2.5,1,2.5
38,45,6,6,0.915,0.915,0.915,1,74,74,0.20748999999999995,0.25395425731189986,-0.12402941864472024,0.050906630312392315,2,2.5,1,2.5
46,54,22,6,0.915,0.915,0.915,1,84,84,0.23997,0.0378102758112503,-0.0794331445872342,-0.4109807355414238,2,2.5,1,2.5
55,56,2,2,0.762,0.508,0.508,1,16,16,0.045139999999999986,0.18841424801942902,-0.17766395844279995,-0.2044003922009001,2,2.5,1,2.5
57,66,23,7,0.9,0.87,1.075,1,86,86,0.24651,0.022060653337618207,0.19453011974945733,-1.0663205993485325,2,2.5,1,2.5
67,68,10,2,0.762,0.508,0.508,1,16,16,0.045139999999999986,-0.07782069293034105,-0.08903097608344156,-0.45501336746372173,2,2.5,1,2.5
69,71,18,2,0.508,0.508,0.762,1,17,17,0.051399999999999994,-0.1035233900194179,0.08714663469682472,-0.3924581394852958,2,2.5,1,2.5
72,72,8,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.05593634847685511,-0.0673153794489398,-0.14772425609238987,2,2.5,1,2.5
73,73,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,8.609449100184768E-4,0.08734030737142527,-0.34267300009652607,2,2.5,1,2.5
