frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,2,20,4,0.6,0.6,0.6,1,20,20,0.058509999999999986,0.14177148625958527,0.013424040383796292,-0.7829243111198124,2,2,1,2
3,72,47,15,1.2,0.77,1.12,0,109,102,0.4806000000000002,0.42874195450813785,-0.37393733135573887,0.15398701715732085,2,2,1,2
73,87,28,12,1.075,0.9,0.87,0,84,81,0.24501999999999996,0.0186628425014522,0.4463914459614104,0.7756146138086812,2,2,1,2
88,92,8,8,0.762,0.762,0.762,1,36,36,0.10099999999999998,0.13715361550195948,0.12952052792246047,-1.0913416610553723,2,2,1,2
93,95,35,3,0.457,0.457,0.762,1,20,20,0.058229999999999976,-0.00852913615049965,0.009618425722722467,0.20280070077060125,2,2,1,2
96,96,32,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,0.003055292017106875,-0.02249521279806046,-0.20304639531769603,2,2,1,2
97,113,44,12,0.9,0.87,1.075,0,84,81,0.24596999999999997,0.20379345753968345,0.059025802895204156,-0.6786162422507019,2,2,1,2
114,118,7,7,0.966,0.61,0.686,1,39,39,0.10866999999999997,-0.04960206112412046,-0.17118488261806356,-0.28232722899574103,2,2,1,2
119,119,33,1,0.254,0.305,0.457,1,5,5,0.015460000000000002,0.01291195968866965,-0.01569709766749596,0.18932336781090686,2,2,1,2
120,122,19,3,0.762,0.457,0.457,1,10,10,0.03453,-0.005905356760587599,0.08509239059821809,0.09422862725637036,2,2,1,2
123,125,24,8,0.762,0.762,0.762,1,29,29,0.07774999999999999,0.08792942218176257,-0.22166195679072606,-0.28333980836148653,2,2,1,2
126,128,37,5,1.219,0.457,0.508,1,30,30,0.07718999999999998,0.12462374645973337,0.24493755065544792,-0.06645147791839051,2,2,1,2
129,130,35,3,0.457,0.457,0.762,1,15,15,0.04276999999999999,-0.09075291681667254,-0.006173506908500134,-0.5098259375059201,2,2,1,2
131,143,5,5,0.508,0.457,1.219,0,28,24,0.09935000000000001,0.12009443041437833,-0.07250469315420979,-0.5041825394197635,2,2,1,2
144,150,10,10,1.17,0.77,0.66,1,55,55,0.14669999999999997,-0.1056132580956979,0.3885307405986995,-0.11849991387158491,2,2,1,2
151,152,34,2,0.457,0.457,0.457,1,9,9,0.028549999999999992,-0.166220485729056,0.011587407172756229,-0.24977019567196257,2,2,1,2
153,154,18,2,0.457,0.457,0.457,1,12,12,0.03565999999999999,-0.008385870925618301,-0.017466468382488352,0.6190866969197746,2,2,1,2
155,169,45,13,1,0.8,1.12,0,82,77,0.23288999999999996,-0.0983549978701001,0.09489610561770372,-0.25915135339799233,2,2,1,2
170,190,15,15,1.12,0.77,1.2,0,93,82,0.2388,0.18758287862787024,0.031669929466906645,-0.13298668591694943,2,2,1,2
191,191,32,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,-0.011888210212542402,-0.011889434225182984,-0.4118065152927734,2,2,1,2
192,210,31,15,1.12,1.2,0.77,0,113,111,0.32387999999999995,0.2579621878377519,0.16948101783390904,-0.6361056538359455,2,2,1,2
211,222,41,9,0.55,0.87,1.075,0,46,45,0.14816,-0.07904779353785052,0.12828468442836002,0.638604603962461,2,2,1,2
223,223,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.02571779312535147,3.021532519303269E-4,-0.11023779208308021,2,2,1,2
224,241,29,13,1.12,1,0.8,0,105,104,0.30591999999999997,0.06693101333518131,0.2196408520834084,1.024464411238102,2,2,1,2
242,244,3,3,0.762,0.457,0.457,1,15,15,0.04665999999999999,-0.06739457535004909,0.1195792049669559,-0.08956614077035538,2,2,1,2
245,272,14,14,1.17,0.77,1.05,0,96,92,0.30115,0.03684636872000083,0.4077218211503726,-0.29162802715730746,2,2,1,2
273,286,41,9,0.55,0.87,1.075,0,70,65,0.20111999999999997,0.10214989551090778,-0.19416899398118798,0.975504780765495,2,2,1,2
287,291,24,8,0.762,0.762,0.762,1,44,44,0.11159999999999995,0.33024670752763247,0.021831973059763234,-0.4083547480123525,2,2,1,2
292,294,20,4,0.6,0.6,0.6,1,23,23,0.06589999999999999,-0.012439267447314065,-0.017480178340213277,0.20767883532604337,2,2,1,2
295,295,17,1,0.457,0.254,0.305,1,5,5,0.01546,-0.007558466030529009,-0.06806796700882829,-0.3766762763904418,2,2,1,2
296,302,39,7,0.686,0.61,0.966,1,41,41,0.11170999999999999,0.10261633606764993,0.1274971472178575,-0.12542267624924325,2,2,1,2
303,306,9,9,1.075,0.87,0.55,1,41,41,0.11244999999999997,-0.06830951869315217,0.3321503786299396,-0.06880485770666339,2,2,1,2
307,322,14,14,1.17,0.77,1.05,0,105,100,0.28976,-0.06847583492478553,-0.23185390027029434,0.3345129432722398,2,2,1,2
323,341,47,15,1.2,0.77,1.12,0,106,99,0.28555,0.20748666115654896,0.076971040244314,-0.5132335604850099,2,2,1,2
342,347,10,10,1.17,0.77,0.66,1,59,59,0.16079999999999997,0.029528495961834537,-0.095955948665407,-0.2505522848614122,2,2,1,2
348,348,16,0,0.229,0.152,0.152,1,2,2,0.00835,0.050458030440445535,0.03675043220328385,0.12981686246429247,2,2,1,2
349,361,41,9,0.55,0.87,1.075,0,59,57,0.1798,0.00897991599404146,0.018785251506903744,0.1391994685970287,2,2,1,2
362,365,22,6,0.89,0.508,0.762,1,32,32,0.08373,0.07018123959411741,-0.01205857092267089,-0.3064081600568011,2,2,1,2
366,371,9,9,1.075,0.87,0.55,1,59,59,0.16372999999999996,0.006087030119087804,0.3785704120265897,-0.5550823212803796,2,2,1,2
372,374,20,4,0.6,0.6,0.6,1,16,16,0.04874999999999999,-0.043086604147623137,-0.21667000400651848,0.5083749724400184,2,2,1,2
375,375,16,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.045472871101743764,5.865356806150933E-4,0.23423295714507503,2,2,1,2
