frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,3,10,2,0.762,0.508,0.508,1,25,25,0.07452999999999999,0.017287290963472784,-0.13777942386579428,-0.3911444035937118,2,2,1,2
4,20,22,6,0.915,0.915,0.915,0,96,94,0.28628,-0.1706919368042066,0.1452131531241908,-0.4284066597204962,2,2,1,2
21,25,20,4,0.762,0.762,0.762,1,43,43,0.11870999999999995,-0.05086673176024124,-0.08092305349704258,0.39962392152578546,2,2,1,2
26,26,8,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.10060693648209049,-0.011919911468903,-0.05388640857745983,2,2,1,2
27,29,11,3,0.77,0.66,0.57,1,20,20,0.05585999999999999,-0.1403706547642272,0.2793106389669326,-0.23668084055150215,2,2,1,2
30,35,22,6,0.915,0.915,0.915,1,62,62,0.16316999999999995,-0.10934752250873411,-0.22317084776749002,-0.6184452342465192,2,2,1,2
36,36,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.03762044558108545,-0.10984724602418901,0.0926393356242651,2,2,1,2
37,41,12,4,0.762,0.762,0.762,1,45,45,0.12581999999999996,-0.15493897443585636,-0.030542188563073117,0.25565415583992335,2,2,1,2
42,43,9,1,0.457,0.457,0.457,1,7,7,0.023810000000000005,0.022253092972009815,-0.0030133299599056237,0.8551490588820019,2,2,1,2
44,51,7,7,1.075,0.87,0.9,1,85,85,0.2171,0.1179522947507759,0.030635379763314197,-0.18458221548273193,2,2,1,2
52,53,2,2,0.762,0.508,0.508,1,17,17,0.04750999999999998,-0.2597223879224366,0.11013369497864813,-0.3509049421714657,2,2,1,2
54,70,7,7,1.075,0.87,0.9,0,89,88,0.2687,0.1334758205179961,-0.24099045547450357,0.20907617861196773,2,2,1,2
71,71,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.07565252602057425,0.05493402651350115,0.6310278539612181,2,2,1,2
72,86,7,7,1.075,0.87,0.9,0,88,83,0.22883999999999993,-0.09878508376313778,0.48889677772514567,-0.20987051120166203,2,2,1,2
87,89,18,2,0.508,0.508,0.762,1,21,21,0.06059999999999998,-0.11667816796270812,-0.08384827575467683,-0.21186842985965243,2,2,1,2
90,94,12,4,0.762,0.762,0.762,1,47,47,0.12999999999999998,-0.34108406341280295,-0.21745676361328306,-0.053551779913476705,2,2,1,2
95,97,19,3,0.66,0.57,0.77,1,23,23,0.06297,0.10578440882166067,0.0808198272870544,0.8714540555996076,2,2,1,2
98,112,5,5,1.17,0.77,0.66,0,63,60,0.18854999999999997,-0.4544003341963969,-0.09832540023101159,-0.26207745003149313,2,2,1,2
113,116,19,3,0.66,0.57,0.77,1,28,28,0.08107999999999999,-0.2076674918344907,-0.06998018080988666,0.5298837049908448,2,2,1,2
117,122,5,5,1.17,0.77,0.66,1,56,56,0.15103999999999998,-0.18409991086066907,-0.26512717574785916,0.4215572932289686,2,2,1,2
123,125,10,2,0.762,0.508,0.508,1,14,14,0.044009999999999994,-0.041054594984047406,-0.25375519963503224,0.13857691861267907,2,2,1,2
126,139,23,7,0.9,0.87,1.075,0,72,69,0.21184999999999996,-0.3079267805359156,0.2062958759388501,0.8581182111204104,2,2,1,2
140,141,18,2,0.508,0.508,0.762,1,17,17,0.04276999999999999,0.04755641530164564,0.09030786894162558,0.20233553822965447,2,2,1,2
142,144,20,4,0.762,0.762,0.762,1,33,33,0.08722999999999997,-0.08437329069797381,0.07150161542036686,-0.2589815205704891,2,2,1,2
145,147,10,2,0.762,0.508,0.508,1,21,21,0.06059999999999997,0.01926841948584725,-0.05655058945138912,0.09594202570600195,2,2,1,2
148,149,9,1,0.457,0.457,0.457,1,12,12,0.03565999999999999,0.00953579375883421,-0.05408287677606588,0.27087218851222483,2,2,1,2
150,150,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.02444301983759945,0.1126301105074271,-0.7970586218180414,2,2,1,2
151,167,23,7,0.9,0.87,1.075,0,90,85,0.24288999999999997,0.12944130245063049,0.18591823989055095,0.3761999491831966,2,2,1,2
168,168,8,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.004152925719168047,0.05591548136698074,0.33016762568825325,2,2,1,2
169,182,15,7,1.075,0.9,0.87,0,81,79,0.23875999999999994,-0.35174567987110306,0.16262956172146045,-0.13241282288757364,2,2,1,2
183,184,1,1,0.457,0.457,0.457,1,12,12,0.03565999999999999,0.13054963885754234,-0.038004141294854514,0.1411573014392501,2,2,1,2
185,189,12,4,0.762,0.762,0.762,1,53,53,0.14268999999999998,-0.2608489833679796,-0.08584216073988274,0.26812826022463493,2,2,1,2
