frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,2,5,1,0.762,0.508,0.508,1,23,23,0.06533999999999998,-0.09421524745100682,0.12646208210017795,0.33665514932339613,2,2,1,2
3,4,4,0,0.229,0.152,0.152,1,3,3,0.01433,0.02339986944171529,0.0167407580278528,0.29592329784024163,2,2,1,2
5,5,4,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.037205420755167466,0.003228351408882367,-0.10221167465313948,2,2,1,2
6,8,1,1,0.762,0.508,0.508,1,20,20,0.05850999999999999,-0.12587355082658633,0.21585273190144552,0.2555675903773046,2,2,1,2
9,9,8,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,-0.020976729343493802,-0.010706175840207588,0.22972582402633082,2,2,1,2
10,12,5,1,0.762,0.508,0.508,1,15,15,0.04665999999999998,-0.1354676216976451,-0.09627969693890955,0.6956480455167883,2,2,1,2
13,15,9,1,0.508,0.508,0.762,1,21,21,0.05377,-0.003556094182415957,0.11589062452945723,-0.2954996933932115,2,2,1,2
16,16,8,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,0.007852581528676236,-0.013415501007736648,-0.7479527960374364,2,2,1,2
17,17,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.008007489199071478,-0.06754142291546178,-0.5997935785038135,2,2,1,2
18,18,0,0,0.229,0.152,0.152,1,2,2,0.00835,-0.06938026390988905,-0.002375412849182902,0.17896264299901882,2,2,1,2
19,19,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.008329001025353588,-0.0028143347208938086,0.19771967603813967,2,2,1,2
20,20,4,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.037940605764108105,0.016203689444285154,0.1253698227036021,2,2,1,2
21,39,11,3,0.9,0.87,1.075,0,92,87,0.2782899999999999,-0.12048999932118898,-0.07150778077499606,-0.6612807052882748,2,2,1,2
40,44,2,2,1.075,0.87,0.55,1,44,44,0.11549999999999999,0.011934694796852614,0.15760007481799979,-0.4137433246999393,2,2,1,2
45,50,2,2,1.075,0.87,0.55,1,47,47,0.13360999999999998,0.11846812990183521,-0.07338238854189394,0.5755591196672312,2,2,1,2
51,51,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.03833900204610189,0.02227826387366182,0.854287777293652,2,2,1,2
52,66,3,3,1.075,0.87,0.9,0,84,83,0.23637999999999998,0.08887422893968855,-0.1313140972922683,-0.2838109783482832,2,2,1,2
67,78,6,2,1.075,0.55,0.87,0,48,46,0.14286,-0.31156848021496764,-0.42042736147961207,-0.15639424299625262,2,2,1,2
79,81,5,1,0.762,0.508,0.508,1,21,21,0.06087999999999999,0.18342335830417372,-0.19692351407803071,-0.5421604378092284,2,2,1,2
82,84,5,1,0.762,0.508,0.508,1,17,17,0.05139999999999999,0.00287557933514297,0.16859275081013836,-0.5266700412230457,2,2,1,2
85,85,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.05612455560319314,0.03960197222353992,0.11981177941580651,2,2,1,2
86,104,11,3,0.9,0.87,1.075,0,90,87,0.27479999999999993,-0.08355317742350353,0.03468859413483867,-0.06028742983267611,2,2,1,2
105,107,5,1,0.762,0.508,0.508,1,16,16,0.04902999999999999,-0.16937708769271437,0.030355886386999608,0.05206782850689497,2,2,1,2
108,110,9,1,0.508,0.508,0.762,1,20,20,0.05823,3.242716289670399E-4,0.152077972604217,-0.11344444757482976,2,2,1,2
111,116,2,2,1.075,0.87,0.55,1,57,57,0.15954999999999997,-0.14215396623222365,0.08734186156115167,-0.6230039200790137,2,2,1,2
117,129,11,3,0.9,0.87,1.075,0,63,62,0.18703999999999998,-0.03940654308458774,0.15641910665646652,-0.6588652038804405,2,2,1,2
130,144,7,3,1.075,0.9,0.87,0,86,85,0.24348999999999996,0.274102686737482,-0.2391000601863115,0.2834896456896876,2,2,1,2
145,159,11,3,0.9,0.87,1.075,0,85,78,0.23232999999999995,-0.2385210570696813,0.2313597999237486,-0.4954043780070478,2,2,1,2
160,162,1,1,0.762,0.508,0.508,1,26,26,0.07007999999999998,0.3618641898204842,-0.18854776432250778,-0.11735586743556697,2,2,1,2
163,163,8,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,0.03387192869475633,-0.021247892890603574,0.028905394219031908,2,2,1,2
164,180,7,3,1.075,0.9,0.87,0,92,91,0.27608999999999995,-0.10654815775917069,-0.08875124445532548,0.33181595184557466,2,2,1,2
181,184,9,1,0.508,0.508,0.762,1,24,24,0.07159999999999998,0.04264391287069689,-0.12288678644442298,0.07849583348559303,2,2,1,2
185,205,7,3,1.075,0.9,0.87,0,94,93,0.28856999999999994,-0.19537899731128217,-0.22090167675225944,-0.6471156310681073,2,2,1,2
206,217,6,2,1.075,0.55,0.87,0,57,55,0.16293999999999995,-0.07347321331043367,0.4332632580222189,0.5368887063696657,2,2,1,2
218,235,3,3,1.075,0.87,0.9,0,88,86,0.26324,-0.06920030944027998,-0.15876167957816617,-0.23112667943966855,2,2,1,2
236,247,10,2,0.55,0.87,1.075,0,50,45,0.14076999999999998,0.2132277217405499,0.24618980242399652,0.009895925497594766,2,2,1,2
248,263,3,3,1.075,0.87,0.9,0,78,76,0.23035999999999993,-0.20909135238933918,0.3312698816576454,-0.3113598849495236,2,2,1,2
264,279,11,3,0.9,0.87,1.075,0,89,86,0.25003,-0.012386553001127037,-0.0058673974607884455,0.0478546496131327,2,2,1,2
280,283,5,1,0.762,0.508,0.508,1,33,33,0.09376999999999998,0.07144937208557535,-0.04387605199784233,0.6144778896702477,2,2,1,2
284,297,11,3,0.9,0.87,1.075,0,72,67,0.18939999999999999,0.3694827133413187,-0.15088220983309283,-1.823188679125945,2,2,1,2
