frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,11,14,14,1.17,0.77,1.05,1,102,102,0.29614999999999997,0.09737983800551507,-0.17410235695115028,-0.6024691538686061,2,3,1,3
12,23,46,14,1.05,0.77,1.17,1,94,94,0.28373999999999994,-0.19608369780124407,0.042217180172111686,0.13059986932515932,2,3,1,3
24,25,19,3,0.762,0.457,0.457,1,12,12,0.03593999999999999,-0.07361066573128322,-0.16704873764548706,-0.24678685461883518,2,3,1,3
26,29,38,6,0.508,0.762,0.89,1,37,37,0.10212999999999998,-0.21729124951184875,-0.06894125350680759,0.3230141080591353,2,3,1,3
30,46,31,15,1.12,1.2,0.77,1,107,107,0.31782,0.3070201660346729,0.2664895115204549,0.21340968858742912,2,3,1,3
47,47,33,1,0.254,0.305,0.457,1,5,5,0.015459999999999998,-0.10216636834942257,0.045122269347475694,0.08730413224383975,2,3,1,3
48,52,40,8,0.762,0.762,0.762,1,45,45,0.12344999999999996,-0.13458614655048065,-0.14588100757386213,0.4620066002832346,2,3,1,3
53,57,40,8,0.762,0.762,0.762,1,49,49,0.13585999999999998,0.09349674501030211,0.13648313500208115,-0.2946537348792553,2,3,1,3
58,61,4,4,0.6,0.6,0.6,1,34,34,0.09585999999999996,-0.039510494458339346,-0.1889361211124009,0.19877704102079594,2,3,1,3
62,65,5,5,0.508,0.457,1.219,1,34,34,0.09613999999999998,0.07889530081917362,0.004838730639272031,0.7930011527208162,2,3,1,3
66,74,11,11,0.915,0.915,0.915,1,78,78,0.22393999999999997,-0.018675306874683724,0.0069669824909052245,0.46679424349410614,2,3,1,3
75,75,1,1,0.457,0.305,0.254,1,4,4,0.013090000000000001,-0.014911896016343915,-0.023731757781982974,-0.017942955136240533,2,3,1,3
76,84,11,11,0.915,0.915,0.915,1,79,79,0.22350999999999993,-0.1040657476380054,-0.026371622465177318,-0.15040645543301548,2,3,1,3
85,93,14,14,1.17,0.77,1.05,1,84,84,0.23466999999999993,-0.3022223664946373,0.037418616315485084,1.2709072218611244,2,3,1,3
94,95,33,1,0.254,0.305,0.457,1,5,5,0.019070000000000004,0.0036185286918727095,0.020097283198420503,0.03868561420391097,2,3,1,3
96,105,12,12,1.075,0.87,0.9,1,86,86,0.25027999999999995,-0.13796440627963394,-0.019451941081927587,-0.5125432546777766,2,3,1,3
106,106,32,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,0.01748101415871509,0.02981447234397084,-0.5122229581465424,2,3,1,3
107,110,6,6,0.89,0.762,0.508,1,36,36,0.09822999999999997,-0.22491897973715527,0.027570888388547952,0.04359757261281153,2,3,1,3
111,113,2,2,0.457,0.457,0.457,1,18,18,0.054049999999999994,-0.09533803159193376,0.04676175301045676,-0.21822003409748927,2,3,1,3
114,114,1,1,0.457,0.305,0.254,1,3,3,0.01072,0.017501942253044293,0.13350006283705684,-0.0730071935311965,2,3,1,3
