frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,0,1,1,0.457,0.457,0.457,1,4,4,0.01309,0.07043245875083182,0.08941361345877409,-0.27606945399005656,2,3,1,3
1,6,12,4,0.762,0.762,0.762,1,56,56,0.15801999999999997,-0.06080737825451754,-0.1559914855130472,-0.36071269778055653,2,3,1,3
7,15,23,7,0.9,0.87,1.075,1,87,87,0.24470999999999996,-0.21969042453322854,0.28325512529430896,-0.6548266458681941,2,3,1,3
16,23,22,6,0.915,0.915,0.915,1,75,75,0.21013999999999997,0.03891619134246773,-0.25311100912894646,1.0606472601621528,2,3,1,3
24,35,23,7,0.9,0.87,1.075,1,103,103,0.29836999999999997,0.056190115228817644,0.2573550682205086,0.18048297149281234,2,3,1,3
36,46,7,7,1.075,0.87,0.9,1,103,103,0.28401,-0.3306200309528255,0.2442152551374517,-0.24178767774361473,2,3,1,3
47,54,13,5,1.17,0.66,0.77,1,68,68,0.19563999999999995,-0.08325396085468267,-0.017161961624595653,-0.2738036041238703,2,3,1,3
55,59,13,5,1.17,0.66,0.77,1,46,46,0.12874999999999998,-0.21517538134747485,0.16441980518856736,-0.856456426534397,2,3,1,3
60,68,22,6,0.915,0.915,0.915,1,79,79,0.22811999999999996,0.07964055424934524,-0.04523441199704978,-0.07697095713114371,2,3,1,3
69,78,7,7,1.075,0.87,0.9,1,85,85,0.24694,0.11184438783150862,0.08175397349016901,0.11328168382152885,2,3,1,3
79,86,15,7,1.075,0.9,0.87,1,73,73,0.20861,-0.28153525213217206,-0.08217127711261137,0.3247794246978813,2,3,1,3
87,87,1,1,0.457,0.457,0.457,1,4,4,0.013090000000000003,-0.07981074579952314,-0.14946966433835637,-0.28839317276514687,2,3,1,3
88,90,11,3,0.77,0.66,0.57,1,25,25,0.07035999999999998,-0.0031028558243669365,-0.07673219703124118,-0.1598189303584454,2,3,1,3
91,99,6,6,0.915,0.915,0.915,1,84,84,0.23843999999999999,0.1154935930246098,-0.11904229305203838,-0.23166739222999846,2,3,1,3
100,103,11,3,0.77,0.66,0.57,1,28,28,0.08079999999999998,-0.027756466909244416,0.018770163830038194,0.2393951065053487,2,3,1,3
104,104,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.05210480985232803,0.01110518207213654,0.2121184476184392,2,3,1,3
105,109,4,4,0.762,0.762,0.762,1,46,46,0.12790999999999997,0.12096713193378969,-0.044208564374547725,-0.15714235490228273,2,3,1,3
110,116,7,7,1.075,0.87,0.9,1,72,72,0.19885999999999995,-0.31291197231030704,-0.1362945246989413,0.028583631977505856,2,3,1,3
117,122,20,4,0.762,0.762,0.762,1,59,59,0.16219999999999996,-0.02368475039450603,-0.07643912681432197,0.29322282510256703,2,3,1,3
123,126,11,3,0.77,0.66,0.57,1,33,33,0.09348999999999998,-0.22452673242097076,-0.03651520029980509,-0.0014789805226286252,2,3,1,3
127,128,16,0,0.152,0.152,0.229,1,2,2,0.012240000000000003,-0.0024554889090698073,0.03100515423446009,0.040693395034537456,2,3,1,3
129,139,23,7,0.9,0.87,1.075,1,82,82,0.24636999999999995,-0.05270252932774726,-0.012502359052254658,-0.41005183944779844,2,3,1,3
140,141,1,1,0.457,0.457,0.457,1,11,11,0.03328999999999999,0.10203114707114817,-0.1328903600923442,0.04506465350177331,2,3,1,3
142,144,10,2,0.762,0.508,0.508,1,21,21,0.06115999999999998,0.010593340749659022,-0.03197896810590755,0.36088045509704825,2,3,1,3
145,147,18,2,0.508,0.508,0.762,1,11,11,0.036899999999999995,-0.09163950627503656,0.022930332598757805,0.34136632282988444,2,3,1,3
148,149,9,1,0.457,0.457,0.457,1,4,4,0.0167,-0.047185916196555225,-0.12700675537570835,0.0011223796920854254,2,3,1,3
150,152,11,3,0.77,0.66,0.57,1,20,20,0.05822999999999999,0.041878559129739194,0.049730350046812415,-0.7262401930855175,2,3,1,3
153,158,5,5,1.17,0.77,0.66,1,49,49,0.14058999999999996,-0.3701679477165274,0.0315392037006557,-0.20472558876807176,2,3,1,3
159,165,13,5,1.17,0.66,0.77,1,70,70,0.19760999999999995,-0.04469579892230933,0.464469249319236,0.23696088139725813,2,3,1,3
166,174,22,6,0.915,0.915,0.915,1,79,79,0.22575,-0.2930007008668862,5.670815930137124E-4,0.09597025410448833,2,3,1,3
175,179,13,5,1.17,0.66,0.77,1,40,40,0.11159999999999996,0.37896477059169925,0.17154453640092476,-0.21563832863682805,2,3,1,3
180,191,7,7,1.075,0.87,0.9,1,102,102,0.29656,0.06915720060191183,0.14296136398406833,-1.2396722411172612,2,3,1,3
192,194,10,2,0.762,0.508,0.508,1,18,18,0.05404999999999999,-0.11646612935781779,0.05419994916301516,-0.6379203980062437,2,3,1,3
195,201,21,5,0.66,0.77,1.17,1,61,61,0.17055,-0.044342295265010816,-0.12421211214651628,-0.27045134750150307,2,3,1,3
202,210,14,6,0.915,0.915,0.915,1,83,83,0.2381599999999999,-0.08811625318905388,-0.12234255157964204,-0.4013549055062601,2,3,1,3
211,216,4,4,0.762,0.762,0.762,1,50,50,0.14239999999999997,-0.2449441272154613,-0.2305327920921898,0.0949545432864471,2,3,1,3
217,220,11,3,0.77,0.66,0.57,1,31,31,0.08846999999999998,-0.12380558554267689,0.10433054374940307,0.3926356442822018,2,3,1,3
221,221,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.046142920015475854,0.011722987838265494,-0.5484600859078668,2,3,1,3
222,227,21,5,0.66,0.77,1.17,1,63,63,0.16986999999999997,0.05781245359951924,-0.09889990347511789,-0.05385288877148116,2,3,1,3
228,228,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.006510105076211785,0.028127910141391436,0.8165232711140707,2,3,1,3
229,235,21,5,0.66,0.77,1.17,1,65,65,0.18435999999999994,-0.06842991025094176,0.0273303576015837,0.8501538682508611,2,3,1,3
236,240,4,4,0.762,0.762,0.762,1,36,36,0.10420999999999997,-0.09289205160507177,0.07217383612534764,1.0433462005287284,2,3,1,3
241,246,13,5,1.17,0.66,0.77,1,54,54,0.15299999999999997,-0.2606128416429354,0.16837374389532414,-0.3763655235915206,2,3,1,3
247,250,3,3,0.77,0.57,0.66,1,34,34,0.09557999999999997,0.024000964446863397,-0.25604528958938866,-0.5749705270219193,2,3,1,3
251,254,12,4,0.762,0.762,0.762,1,36,36,0.10003999999999998,0.14280442674675256,-0.2162494906680164,-1.0255512421093054,2,3,1,3
255,257,18,2,0.508,0.508,0.762,1,24,24,0.06770999999999998,-0.001467550812785102,-0.014770932874501192,0.9658138008011476,2,3,1,3
258,262,11,3,0.77,0.66,0.57,1,32,32,0.09500999999999997,0.08681547471554803,0.10106423114232396,0.3230449907439536,2,3,1,3
