frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,4,40,8,0.762,0.762,0.762,1,41,41,0.11424999999999998,0.053765134747250906,-0.1626235659277123,-0.3825534361409809,2,2.5,1,2.5
5,15,30,14,1.17,1.05,0.77,1,103,103,0.29167999999999994,0.0014108219325396588,0.28231932425767137,0.17672111302838672,2,2.5,1,2.5
16,18,20,4,0.6,0.6,0.6,1,25,25,0.07035999999999998,-0.07592203390859759,0.005035147195387934,-0.24846987116050492,2,2.5,1,2.5
19,24,26,10,1.17,0.66,0.77,1,67,67,0.18255999999999997,-0.08455594303320067,-0.22149587934704462,-0.4721754092112898,2,2.5,1,2.5
25,35,46,14,1.05,0.77,1.17,1,90,90,0.2637999999999999,-0.24413937338605335,-0.14108304083250747,0.05894351867046659,2,2.5,1,2.5
36,36,16,0,0.229,0.152,0.152,1,2,2,0.008350000000000002,-0.01618076505103854,-0.070643531314878,1.1637864076456605,2,2.5,1,2.5
37,48,30,14,1.17,1.05,0.77,1,98,98,0.28206000000000003,-0.17563856954272286,0.008859783316864985,0.6726564573561811,2,2.5,1,2.5
49,51,20,4,0.6,0.6,0.6,1,21,21,0.06115999999999998,-0.18723861391176275,0.12719919224931425,-0.28625390671969925,2,2.5,1,2.5
52,53,18,2,0.457,0.457,0.457,1,8,8,0.02618,0.06239864378930079,0.1745599846339622,-0.8639882699693822,2,2.5,1,2.5
54,62,29,13,1.12,1,0.8,1,90,90,0.25517999999999996,-0.015052559231438997,0.23563740101889438,0.7322755572978372,2,2.5,1,2.5
63,64,2,2,0.457,0.457,0.457,1,9,9,0.028549999999999996,0.02027621020634388,0.020608700778711873,0.29986017970444295,2,2.5,1,2.5
65,68,6,6,0.89,0.762,0.508,1,36,36,0.10059999999999997,-0.09814452666083713,0.14214123015751962,0.22897563802556328,2,2.5,1,2.5
69,70,2,2,0.457,0.457,0.457,1,10,10,0.030919999999999996,0.03578417063271847,0.07194433372919329,0.3948221037611422,2,2.5,1,2.5
71,72,34,2,0.457,0.457,0.457,1,9,9,0.02855,0.1158486521324351,0.0018964766240628208,-0.15835735325391462,2,2.5,1,2.5
73,78,23,7,0.966,0.686,0.61,1,50,50,0.14295999999999998,-0.03484848901101401,0.22498403890821478,0.7522171634730632,2,2.5,1,2.5
79,85,11,11,0.915,0.915,0.915,1,68,68,0.18449,-0.051090592636021136,-0.14373420223540523,-0.35233144919067283,2,2.5,1,2.5
86,88,21,5,0.508,1.219,0.457,1,26,26,0.07244999999999999,0.17123108261118722,0.1734166407957618,-0.25971822280276297,2,2.5,1,2.5
89,89,1,1,0.457,0.305,0.254,1,2,2,0.008350000000000002,0.13042253207669993,0.03247447203509082,0.7460391075600885,2,2.5,1,2.5
90,94,39,7,0.686,0.61,0.966,1,45,45,0.12637999999999996,0.06817790209481041,0.02511560795861649,-0.21158538836013754,2,2.5,1,2.5
95,98,37,5,1.219,0.457,0.508,1,24,24,0.07159999999999998,-0.02973983114235756,0.09955668428521895,0.4029524644821481,2,2.5,1,2.5
99,104,9,9,1.075,0.87,0.55,1,54,54,0.14894999999999997,0.10797025452140616,0.16189899883141884,-0.18211846125650466,2,2.5,1,2.5
105,105,33,1,0.254,0.305,0.457,1,2,2,0.00835,-0.01871427236785853,0.05626505542564147,0.5111834409806603,2,2.5,1,2.5
106,122,15,15,1.12,0.77,1.2,0,94,93,0.27888999999999997,0.46735544800658696,0.056677547493289716,0.39393892226649957,2,2.5,1,2.5
123,131,28,12,1.075,0.9,0.87,1,79,79,0.21430999999999997,0.20728235069483578,-0.26954730822803863,0.3727709998754321,2,2.5,1,2.5
