frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,2,1,1,0.762,0.508,0.508,1,17,17,0.05139999999999999,-0.1631417031672364,0.060832988084762576,-0.1866372440219474,2,2.5,1,2.5
3,9,11,3,0.9,0.87,1.075,1,67,67,0.18532999999999997,-0.15554950803139822,-0.26344300510988805,-0.18726674988047715,2,2.5,1,2.5
10,18,7,3,1.075,0.9,0.87,1,88,88,0.24763999999999994,0.11139806157820949,-0.19453884309748057,0.73562503111263,2,2.5,1,2.5
19,24,2,2,1.075,0.87,0.55,1,53,53,0.14922999999999995,-0.17127029866379778,-0.0631311824724145,-0.9546639342662638,2,2.5,1,2.5
25,25,8,0,0.152,0.152,0.229,1,2,2,0.00835,0.03347347904858247,0.028953655995786965,0.16232257385628196,2,2.5,1,2.5
26,32,6,2,1.075,0.55,0.87,1,63,63,0.17668999999999999,0.17039044042366105,-0.02353100891365402,-0.11385230378592302,2,2.5,1,2.5
33,33,8,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,-0.019068095486026417,-0.0222007907700322,0.1593467469369634,2,2.5,1,2.5
34,38,6,2,1.075,0.55,0.87,1,45,45,0.12637999999999996,-0.10147191218145893,0.1334506106157184,-0.7582165754694993,2,2.5,1,2.5
39,46,7,3,1.075,0.9,0.87,1,82,82,0.22491999999999998,-0.18953769373489535,0.13589353042088734,-0.4148348579999567,2,2.5,1,2.5
47,48,1,1,0.762,0.508,0.508,1,18,18,0.04987999999999998,0.14335403321211018,0.030148092706539658,-0.6712176130584608,2,2.5,1,2.5
49,49,4,0,0.229,0.152,0.152,1,3,3,0.01072,0.042283730171305045,0.07297268821543768,-1.1023124175348993,2,2.5,1,2.5
50,54,10,2,0.55,0.87,1.075,1,52,52,0.14240999999999998,0.18910000755064532,-0.003609472889127234,0.04651460975317056,2,2.5,1,2.5
55,63,7,3,1.075,0.9,0.87,1,81,81,0.22812,-0.12980621765812927,0.0933382158722148,-0.3711633393692795,2,2.5,1,2.5
64,74,11,3,0.9,0.87,1.075,1,88,88,0.26158,0.003866143350146377,-0.028090714061309176,-0.40453690425544747,2,2.5,1,2.5
75,75,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.10018923707595795,-0.006867229521145044,-0.6490893576586958,2,2.5,1,2.5
76,78,1,1,0.762,0.508,0.508,1,17,17,0.051119999999999985,-0.04239872582456139,-0.11823721399598928,-0.15903503048091988,2,2.5,1,2.5
79,79,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.03553987540693912,-0.01145669002333944,-0.5220252341734298,2,2.5,1,2.5
80,83,1,1,0.762,0.508,0.508,1,26,26,0.07661999999999998,-0.13656286505254875,0.06102068234139634,0.4338496238844736,2,2.5,1,2.5
84,91,7,3,1.075,0.9,0.87,1,76,76,0.20915,-0.08056091734457353,-0.2576430702685363,0.28431437684970295,2,2.5,1,2.5
92,97,2,2,1.075,0.87,0.55,1,49,49,0.14058999999999996,0.011831674604601834,-0.2608429433418742,0.9056195162280272,2,2.5,1,2.5
98,100,9,1,0.508,0.508,0.762,1,24,24,0.06770999999999998,-0.06982280078645416,-0.23265761879578967,-0.22890173955263643,2,2.5,1,2.5
101,101,4,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.01499549948560575,0.019915356562446872,0.8604738319320598,2,2.5,1,2.5
102,105,1,1,0.762,0.508,0.508,1,29,29,0.08372999999999997,-0.017032456925874642,0.18524817881337977,0.887231512686787,2,2.5,1,2.5
106,108,1,1,0.762,0.508,0.508,1,22,22,0.06296999999999998,0.1977623079038956,0.05339409608088663,1.144974462191506,2,2.5,1,2.5
109,120,11,3,0.9,0.87,1.075,1,88,88,0.25316999999999995,0.1386478114909589,0.1441581146701775,-0.9144170351289284,2,2.5,1,2.5
121,135,3,3,1.075,0.87,0.9,0,81,80,0.23051999999999997,0.35253334385023494,-0.5016134300236158,-0.36422297922035035,2,2.5,1,2.5
136,144,11,3,0.9,0.87,1.075,1,82,82,0.22852999999999996,-0.222357441954619,-0.31436885864338987,-0.16329594359036612,2,2.5,1,2.5
145,153,11,3,0.9,0.87,1.075,1,84,84,0.23018999999999992,-0.220007197182122,0.3350215761621182,0.05410172398846102,2,2.5,1,2.5
154,164,3,3,1.075,0.87,0.9,1,84,84,0.24078999999999998,0.08905872326727732,-0.028314541453731492,-0.7452827925634289,2,2.5,1,2.5
165,165,8,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,0.002242562053872235,-0.027864904456282803,-0.1657692030353943,2,2.5,1,2.5
166,166,8,0,0.152,0.152,0.229,1,1,1,0.005980000000000001,-0.0544646899367017,0.03182757172175286,-0.16018019925065705,2,2.5,1,2.5
167,167,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.017172312508363537,-0.017080901177718447,-0.5723164821617757,2,2.5,1,2.5
168,172,6,2,1.075,0.55,0.87,1,44,44,0.12135999999999995,0.11538805096256141,-0.21286723453942608,0.7655734340893438,2,2.5,1,2.5
173,175,9,1,0.508,0.508,0.762,1,19,19,0.05585999999999998,0.02520787069614504,-0.060233464351339194,0.22199200673888075,2,2.5,1,2.5
