frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,10,3,3,1.075,0.87,0.9,1,75,75,0.21544999999999995,0,0,0,1,3,1,3
11,21,3,3,1.075,0.87,0.9,1,87,87,0.23509999999999998,0,0,0,1,3,1,3
22,33,3,3,1.075,0.87,0.9,1,81,81,0.24930999999999998,0,0,0,1,3,1,3
34,42,2,2,1.075,0.87,0.55,1,58,58,0.17933999999999997,0,0,0,1,3,1,3
43,57,3,3,1.075,0.87,0.9,1,90,90,0.2682800000000001,0,0,0,1,3,1,3
58,62,2,2,1.075,0.87,0.55,1,42,42,0.11829999999999996,0,0,0,1,3,1,3
63,63,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
64,64,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
65,65,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
66,66,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
67,67,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
68,73,2,2,1.075,0.87,0.55,1,42,42,0.11535999999999999,0,0,0,1,3,1,3
74,77,1,1,0.762,0.508,0.508,1,29,29,0.08484999999999998,0,0,0,1,3,1,3
78,87,3,3,1.075,0.87,0.9,1,76,76,0.20833,0,0,0,1,3,1,3
88,89,1,1,0.762,0.508,0.508,1,14,14,0.04039999999999999,0,0,0,1,3,1,3
90,90,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
91,97,2,2,1.075,0.87,0.55,1,57,57,0.15871999999999997,0,0,0,1,3,1,3
98,101,1,1,0.762,0.508,0.508,1,33,33,0.09376999999999998,0,0,0,1,3,1,3
102,104,1,1,0.762,0.508,0.508,1,18,18,0.05348999999999999,0,0,0,1,3,1,3
105,119,3,3,1.075,0.87,0.9,1,88,88,0.27623,0,0,0,1,3,1,3
120,120,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
121,130,3,3,1.075,0.87,0.9,1,78,78,0.22506999999999996,0,0,0,1,3,1,3
131,142,3,3,1.075,0.87,0.9,1,82,82,0.23174999999999993,0,0,0,1,3,1,3
143,143,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
144,156,3,3,1.075,0.87,0.9,1,90,90,0.24721,0,0,0,1,3,1,3
