frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,0,1,1,0.457,0.305,0.254,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
1,3,3,3,0.762,0.457,0.457,1,16,16,0.04874999999999999,0,0,0,1,2,1,2
4,4,1,1,0.457,0.305,0.254,1,3,3,0.01072,0,0,0,1,2,1,2
5,6,2,2,0.457,0.457,0.457,1,7,7,0.023809999999999998,0,0,0,1,2,1,2
7,9,4,4,0.6,0.6,0.6,1,22,22,0.06059999999999998,0,0,0,1,2,1,2
10,10,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
11,14,4,4,0.6,0.6,0.6,1,20,20,0.05793999999999999,0,0,0,1,2,1,2
15,15,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
16,20,10,10,1.17,0.77,0.66,1,51,51,0.12135999999999997,0,0,0,1,2,1,2
21,30,5,5,0.508,0.457,1.219,0,26,16,0.06454,0,0,0,1,2,1,2
31,53,14,14,1.17,0.77,1.05,0,83,59,0.19207000000000002,0,0,0,1,2,1,2
54,56,6,6,0.89,0.762,0.508,1,27,27,0.06324999999999999,0,0,0,1,2,1,2
57,75,15,15,1.12,0.77,1.2,0,99,61,0.19045000000000004,0,0,0,1,2,1,2
76,77,2,2,0.457,0.457,0.457,1,8,8,0.02617999999999999,0,0,0,1,2,1,2
78,120,12,12,1.075,0.87,0.9,0,83,73,0.31475000000000003,0,0,0,1,2,1,2
121,125,8,8,0.762,0.762,0.762,1,43,43,0.08942999999999998,0,0,0,1,2,1,2
126,141,13,13,1.12,0.8,1,0,79,59,0.17975000000000002,0,0,0,1,2,1,2
142,143,2,2,0.457,0.457,0.457,1,11,11,0.03328999999999999,0,0,0,1,2,1,2
144,153,5,5,0.508,0.457,1.219,0,33,17,0.07193,0,0,0,1,2,1,2
154,176,14,14,1.17,0.77,1.05,0,91,62,0.19834000000000004,0,0,0,1,2,1,2
177,182,9,9,1.075,0.87,0.55,1,59,59,0.14448999999999995,0,0,0,1,2,1,2
