frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,6,4,4,0.762,0.762,0.762,1,51,51,0.12495999999999995,0,0,0,1,2,1,2
7,7,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
8,34,6,6,0.915,0.915,0.915,0,83,70,0.23981999999999998,0,0,0,1,2,1,2
35,39,5,5,1.17,0.77,0.66,1,53,53,0.11982999999999996,0,0,0,1,2,1,2
40,42,2,2,0.762,0.508,0.508,1,19,19,0.05613999999999998,0,0,0,1,2,1,2
43,45,3,3,0.77,0.57,0.66,1,30,30,0.07481999999999997,0,0,0,1,2,1,2
46,46,1,1,0.457,0.457,0.457,1,5,5,0.015459999999999998,0,0,0,1,2,1,2
47,47,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
48,49,1,1,0.457,0.457,0.457,1,12,12,0.03328999999999999,0,0,0,1,2,1,2
50,65,4,4,0.762,0.762,0.762,0,46,44,0.13653,0,0,0,1,2,1,2
66,86,6,6,0.915,0.915,0.915,0,67,55,0.18707000000000001,0,0,0,1,2,1,2
87,90,2,2,0.762,0.508,0.508,1,25,25,0.07159999999999998,0,0,0,1,2,1,2
91,92,1,1,0.457,0.457,0.457,1,9,9,0.02855,0,0,0,1,2,1,2
93,93,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
94,121,7,7,1.075,0.87,0.9,0,103,86,0.27551,0,0,0,1,2,1,2
122,126,4,4,0.762,0.762,0.762,1,41,41,0.09236,0,0,0,1,2,1,2
127,135,5,5,1.17,0.77,0.66,1,66,66,0.16313999999999998,0,0,0,1,2,1,2
136,180,7,7,1.075,0.87,0.9,0,87,71,0.29980000000000007,0,0,0,1,2,1,2
181,195,7,7,1.075,0.87,0.9,0,67,49,0.14589,0,0,0,1,2,1,2
196,198,2,2,0.762,0.508,0.508,1,18,18,0.05111999999999999,0,0,0,1,2,1,2
199,199,0,0,0.229,0.152,0.152,1,3,3,0.01072,0,0,0,1,2,1,2
200,206,5,5,1.17,0.77,0.66,1,64,64,0.15632999999999997,0,0,0,1,2,1,2
207,207,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
208,208,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
209,215,5,5,1.17,0.77,0.66,1,58,58,0.13527999999999998,0,0,0,1,2,1,2
216,216,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
217,223,4,4,0.762,0.762,0.762,1,31,31,0.07740999999999999,0,0,0,1,2,1,2
224,237,6,6,0.915,0.915,0.915,0,70,55,0.16277,0,0,0,1,2,1,2
238,261,6,6,0.915,0.915,0.915,0,64,56,0.19204000000000002,0,0,0,1,2,1,2
262,264,2,2,0.762,0.508,0.508,1,22,22,0.058229999999999976,0,0,0,1,2,1,2
265,292,7,7,1.075,0.87,0.9,0,88,72,0.24427000000000004,0,0,0,1,2,1,2
293,296,3,3,0.77,0.57,0.66,1,29,29,0.07633999999999998,0,0,0,1,2,1,2
297,297,0,0,0.229,0.152,0.152,1,2,2,0.00835,0,0,0,1,2,1,2
298,301,3,3,0.77,0.57,0.66,1,27,27,0.06922999999999999,0,0,0,1,2,1,2
302,313,4,4,0.762,0.762,0.762,0,43,42,0.12418000000000001,0,0,0,1,2,1,2
314,316,2,2,0.762,0.508,0.508,1,20,20,0.053769999999999984,0,0,0,1,2,1,2
317,319,1,1,0.457,0.457,0.457,1,10,10,0.03453,0,0,0,1,2,1,2
320,323,3,3,0.77,0.57,0.66,1,36,36,0.08581999999999998,0,0,0,1,2,1,2
324,324,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
325,327,2,2,0.762,0.508,0.508,1,20,20,0.05585999999999999,0,0,0,1,2,1,2
328,330,2,2,0.762,0.508,0.508,1,24,24,0.06324999999999999,0,0,0,1,2,1,2
