frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,27,3,3,1.075,0.87,0.9,0,71,62,0.22518000000000007,0,0,0,1,2,1,2
28,28,0,0,0.229,0.152,0.152,1,2,2,0.00835,0,0,0,1,2,1,2
29,44,3,3,1.075,0.87,0.9,0,93,80,0.22089999999999999,0,0,0,1,2,1,2
45,47,1,1,0.762,0.508,0.508,1,20,20,0.05585999999999998,0,0,0,1,2,1,2
48,48,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
49,64,3,3,1.075,0.87,0.9,0,72,56,0.16107,0,0,0,1,2,1,2
65,65,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
66,71,2,2,1.075,0.87,0.55,1,43,43,0.10656999999999996,0,0,0,1,2,1,2
72,73,1,1,0.762,0.508,0.508,1,17,17,0.04834999999999999,0,0,0,1,2,1,2
74,74,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
75,102,3,3,1.075,0.87,0.9,0,75,66,0.23283,0,0,0,1,2,1,2
103,105,1,1,0.762,0.508,0.508,1,17,17,0.051680000000000004,0,0,0,1,2,1,2
106,106,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
107,107,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
108,110,1,1,0.762,0.508,0.508,1,20,20,0.05823,0,0,0,1,2,1,2
111,116,2,2,1.075,0.87,0.55,1,51,51,0.12050999999999998,0,0,0,1,2,1,2
117,122,2,2,1.075,0.87,0.55,1,54,54,0.13473,0,0,0,1,2,1,2
123,155,3,3,1.075,0.87,0.9,0,79,65,0.25215000000000004,0,0,0,1,2,1,2
156,156,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
157,157,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
158,163,2,2,1.075,0.87,0.55,1,55,55,0.13961999999999997,0,0,0,1,2,1,2
164,184,3,3,1.075,0.87,0.9,0,72,53,0.17173000000000002,0,0,0,1,2,1,2
185,210,3,3,1.075,0.87,0.9,0,99,81,0.24933000000000005,0,0,0,1,2,1,2
211,215,2,2,1.075,0.87,0.55,1,48,48,0.11954999999999998,0,0,0,1,2,1,2
216,216,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2,1,2
217,220,2,2,1.075,0.87,0.55,1,43,43,0.10003999999999996,0,0,0,1,2,1,2
221,225,2,2,1.075,0.87,0.55,1,54,54,0.12484999999999997,0,0,0,1,2,1,2
226,228,1,1,0.762,0.508,0.508,1,19,19,0.055859999999999986,0,0,0,1,2,1,2
229,231,1,1,0.762,0.508,0.508,1,19,19,0.055859999999999986,0,0,0,1,2,1,2
