frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,6,8,8,0.762,0.762,0.762,1,53,53,0.13864,0.20097601730282158,-0.01597114205113031,0.09143372947258573,1,3,1,3
7,11,7,7,0.966,0.61,0.686,1,42,42,0.11954999999999998,0.0552159442631373,0.1129343897959445,0.31386582404172075,0,3,1,3
12,14,3,3,0.762,0.457,0.457,1,20,20,0.05822999999999999,-0.09930291144561224,0.011820500898867282,-0.08337225910669548,1,3,1,3
15,16,1,1,0.457,0.305,0.254,1,8,8,0.026459999999999997,-0.0201826664637361,-0.012273349009628178,0.2964841404957104,0,3,1,3
17,28,13,13,1.12,0.8,1,1,79,79,0.23188,-0.04705278305160613,0.04422117763548977,-0.1916331207985892,1,3,1,3
29,33,9,9,1.075,0.87,0.55,1,43,43,0.11689999999999998,0.0665864351505783,0.04349080054273876,0.3222533802119401,0,3,1,3
34,40,9,9,1.075,0.87,0.55,1,61,61,0.14880999999999997,0.12333192846134795,-0.31354491889802033,0.1647448888453253,1,3,1,3
41,41,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.01600136494198887,0.033686393912823125,-0.013075141105209,0,3,1,3
42,45,5,5,0.508,0.457,1.219,1,30,30,0.08219999999999998,-0.003908872946542672,-0.004781353272573265,0.19307150401719955,1,3,1,3
46,53,10,10,1.17,0.77,0.66,1,68,68,0.17932999999999996,-0.09155666337470968,0.0701314847260884,0.2057524302518934,0,3,1,3
54,55,1,1,0.457,0.305,0.254,1,2,2,0.011960000000000002,0.024827649940207763,-0.03761009467566762,0.3538839907297407,1,3,1,3
56,61,9,9,1.075,0.87,0.55,1,50,50,0.14492,-0.0698315577810428,-0.1635263511193396,0.13604342827143734,1,3,1,3
62,64,5,5,0.508,0.457,1.219,1,24,24,0.058509999999999986,0.03130678310034341,0.05867078940252152,-0.03578061333197683,1,3,1,3
65,77,13,13,1.12,0.8,1,1,88,88,0.26283,-0.1669305183910445,-0.04592412526313457,-0.0042153753956478135,1,3,1,3
78,78,1,1,0.457,0.305,0.254,1,4,4,0.01309,0.06344361120502551,-0.015473816795309025,-0.11627115983366003,1,3,1,3
79,90,11,11,0.915,0.915,0.915,1,84,84,0.26327,-0.11592367665712511,-0.06759587697473322,0.13338481108322917,1,3,1,3
91,101,13,13,1.12,0.8,1,1,86,86,0.23092,0.11043690533202274,0.08688165559812364,-0.08189873857234344,1,3,1,3
102,102,2,2,0.457,0.457,0.457,1,8,8,0.022569999999999993,-0.07301964198943726,-0.014993529620090462,-0.18296573448012593,1,3,1,3
103,106,6,6,0.89,0.762,0.508,1,26,26,0.07243999999999999,-0.05459054376927678,-0.060681987059422696,-0.043935086766099814,0,3,1,3
107,110,6,6,0.89,0.762,0.508,1,34,34,0.08247999999999998,0.18947823429712385,0.002940125640665612,0.39354013186185866,1,3,1,3
