frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,1,1,1,0.457,0.457,0.457,1,11,11,0.03328999999999999,-0.0041502541736244125,0.09197274212776167,0.17951958769079276,0,3,1,3
2,6,3,3,0.77,0.57,0.66,1,34,34,0.09877999999999997,-0.011402139098873233,-0.055229037409291915,-0.1345095257630637,1,3,1,3
7,18,7,7,1.075,0.87,0.9,1,80,80,0.23745999999999998,-0.024986446477974097,-0.08312653349315575,-0.024963458639689518,1,3,1,3
19,20,1,1,0.457,0.457,0.457,1,9,9,0.028549999999999985,0.0717400445435397,-0.02034898432382933,0.019028410176342624,1,3,1,3
21,23,1,1,0.457,0.457,0.457,1,16,16,0.04930999999999999,-0.01905804764524319,0.05047230559748883,-0.2711997710299328,1,3,1,3
24,33,6,6,0.915,0.915,0.915,1,85,85,0.20537999999999998,-0.15548611686765537,-0.1071728975617408,-0.12043249151457926,0,3,1,3
34,36,2,2,0.762,0.508,0.508,1,20,20,0.05613999999999999,0.028035793941505602,-0.03463803003347011,0.07124332198557425,0,3,1,3
37,37,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.008229098202504928,-0.02944219830567349,0.11058539527584434,1,3,1,3
38,45,6,6,0.915,0.915,0.915,1,69,69,0.19033999999999998,-0.06082888074708829,0.06759291896706457,0.13276082120432847,0,3,1,3
46,49,3,3,0.77,0.57,0.66,1,29,29,0.07271999999999998,-0.060127566238621,-0.13921342766773642,0.27218073633486944,0,3,1,3
50,59,7,7,1.075,0.87,0.9,1,80,80,0.21921,-0.08704192723162427,-0.048724251033287196,-0.4941002927570685,1,3,1,3
60,63,2,2,0.762,0.508,0.508,1,18,18,0.05737999999999999,0.07809557196675482,-0.1232152452505106,0.1769929235287895,0,3,1,3
64,67,2,2,0.762,0.508,0.508,1,22,22,0.06477,0.027096279685834602,0.004800028827325071,-0.41614211263239176,0,3,1,3
68,68,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.008945392880144945,0.012689765420443394,-0.31627657665205144,1,3,1,3
69,79,6,6,0.915,0.915,0.915,1,78,78,0.23160999999999995,-0.062220832282301186,-0.03124525154877814,-0.14297675924751968,1,3,1,3
80,90,7,7,1.075,0.87,0.9,1,79,79,0.22171999999999997,-0.10866273629399585,-0.16374122670373178,-0.04963543304477869,1,3,1,3
91,113,7,7,1.075,0.87,0.9,1,104,104,0.35599000000000003,0.11218281435917073,0.043244390501743654,-1.046485775284215,1,3,1,3
114,114,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.0036413621100388227,-0.005492705933459525,-0.0032229401677506746,0,3,1,3
115,121,5,5,1.17,0.77,0.66,1,59,59,0.14295,-0.04335607519713375,0.13753256558408183,0.03725313253901961,0,3,1,3
122,127,5,5,1.17,0.77,0.66,1,41,41,0.11925999999999996,0.1812261231927226,-0.10994124610047015,0.04927161974906926,0,3,1,3
128,137,7,7,1.075,0.87,0.9,1,82,82,0.22741999999999998,-0.01132389150609439,0.022518832919163533,-0.276944271204541,0,3,1,3
138,139,1,1,0.457,0.457,0.457,1,12,12,0.03593999999999999,0.04808845991464793,-0.03692359229461492,-0.12525363062122083,0,3,1,3
140,145,4,4,0.762,0.762,0.762,1,51,51,0.14631999999999998,0.03291680388340124,-0.001453943274025427,-0.04591815186257217,1,3,1,3
146,150,2,2,0.762,0.508,0.508,1,31,31,0.09082999999999998,-0.049755203073190604,0.0788793872953941,-0.20187331283682278,0,3,1,3
151,161,7,7,1.075,0.87,0.9,1,82,82,0.22505999999999998,0.15401421612565824,0.0975802330392673,-0.06890034072645039,1,3,1,3
162,169,7,7,1.075,0.87,0.9,1,68,68,0.18266999999999994,0.043446002587309074,-0.12560753600451807,-0.53323051148171,0,3,1,3
170,171,3,3,0.77,0.57,0.66,1,20,20,0.05489999999999999,2.9092819073302175E-4,-0.1700946039503937,-0.12565668796798252,0,3,1,3
172,172,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.01916772402644638,0.031032157922596382,-0.14321984807501828,1,3,1,3
173,180,5,5,1.17,0.77,0.66,1,61,61,0.1661,0.04716140950192503,0.15167985458648287,0.2533238763876824,1,3,1,3
181,182,1,1,0.457,0.457,0.457,1,6,6,0.02144,-0.0012570642617677115,0.009318964358953337,0.5269589201642355,1,3,1,3
183,183,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.011518805471922645,0.002436510631582422,0.02765339711275768,1,3,1,3
184,190,6,6,0.915,0.915,0.915,1,66,66,0.17194999999999996,-0.15221605867602,0.07681706306458376,0.23565658855831828,0,3,1,3
191,198,6,6,0.915,0.915,0.915,1,74,74,0.20330999999999996,-0.07494313834272608,0.01349946979768856,-0.44070709553956405,0,3,1,3
199,208,7,7,1.075,0.87,0.9,1,77,77,0.20609,0.0668171307552526,0.20333301787403343,0.022409620206707257,1,3,1,3
209,210,1,1,0.457,0.457,0.457,1,10,10,0.0312,0.04395208891171679,0.035207821011672774,0.21650250355835834,1,3,1,3
211,214,3,3,0.77,0.57,0.66,1,30,30,0.08191999999999998,-0.02929766645774203,0.16338863238058168,0.2720721240724444,1,3,1,3
215,215,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.04084967139534474,-0.010347000190376873,-0.5897465240235151,1,3,1,3
216,218,1,1,0.457,0.457,0.457,1,13,13,0.04191999999999999,-0.017272469616130662,-0.03059558967452216,-0.43416522942002267,0,3,1,3
219,223,4,4,0.762,0.762,0.762,1,44,44,0.10978999999999997,-0.054638593610227076,0.10693806354694595,2.0254212319512736E-4,0,3,1,3
224,233,6,6,0.915,0.915,0.915,1,77,77,0.21824,0.05277525690952269,-0.03822329640953312,0.20981440368108403,1,3,1,3
234,237,3,3,0.77,0.57,0.66,1,25,25,0.07480999999999999,0.0207775780074082,0.016461823232856592,-0.6687624052484687,0,3,1,3
238,239,1,1,0.457,0.457,0.457,1,11,11,0.03328999999999999,-0.11461247917877855,-0.11268736694989406,-0.45452542032993754,1,3,1,3
240,241,1,1,0.457,0.457,0.457,1,13,13,0.03328999999999999,-0.040272190813254116,0.02890113469310493,0.39185408149886863,0,3,1,3
242,245,2,2,0.762,0.508,0.508,1,20,20,0.06351999999999998,0.0439325201109617,0.012107962306268814,0.33830610773320885,1,3,1,3
246,251,5,5,1.17,0.77,0.66,1,54,54,0.13166999999999998,-0.10158029131673624,0.15938294139753847,0.3694301237393961,0,3,1,3
252,252,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.006246136688798392,0.01527588752665072,0.1597866228935639,1,3,1,3
253,253,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.007362341174305675,-0.00921645088387025,-0.5286638448462203,0,3,1,3
254,255,2,2,0.762,0.508,0.508,1,11,11,0.03328999999999999,-0.009064346457489401,-0.009812353227540989,-0.34298490349794164,0,3,1,3
256,261,5,5,1.17,0.77,0.66,1,63,63,0.14853999999999998,-0.0603442839860691,0.04358210081671831,0.16511355423888224,0,3,1,3
262,273,6,6,0.915,0.915,0.915,1,82,82,0.24472000000000002,-0.0950523497768275,0.08927195715098747,-0.02167308475625188,1,3,1,3
274,278,4,4,0.762,0.762,0.762,1,43,43,0.12331999999999997,-0.08373867608977725,0.05200923322296002,0.33476474150470015,1,3,1,3
279,289,7,7,1.075,0.87,0.9,1,86,86,0.23632999999999996,-0.10904216731105063,0.03945731627153891,0.05028768407537504,0,3,1,3
290,301,5,5,1.17,0.77,0.66,1,80,80,0.22729000000000002,0.14443899249064573,0.039534179543251544,-0.16056515741964392,1,3,1,3
302,303,1,1,0.457,0.457,0.457,1,12,12,0.035939999999999986,0.0021399907598087992,-0.068927206292913,-0.19746408739757043,1,3,1,3
304,306,1,1,0.457,0.457,0.457,1,11,11,0.036899999999999995,-0.012571026602440534,-0.03772101982219021,0.16008019947340585,0,3,1,3
307,310,3,3,0.77,0.57,0.66,1,28,28,0.08191999999999998,0.0371404630753706,-0.055364361234563675,0.5203842748004756,1,3,1,3
311,318,5,5,1.17,0.77,0.66,1,59,59,0.16498,-0.1161876167790041,0.05698188951221848,-0.09695639967599204,1,3,1,3
319,325,5,5,1.17,0.77,0.66,1,60,60,0.14350999999999997,-0.12976635931977534,-0.090111235578164,-0.14793559057123848,0,3,1,3
326,331,5,5,1.17,0.77,0.66,1,55,55,0.10768999999999998,-0.37622843093767705,-0.034627691482638605,-0.06258294717352705,0,3,1,3
332,335,4,4,0.762,0.762,0.762,1,35,35,0.09822999999999998,0.03996937863656749,-0.11545627193305837,-0.06275195974709778,0,3,1,3
336,343,5,5,1.17,0.77,0.66,1,64,64,0.17514999999999997,0.08584338509593333,-0.05538278291492984,-0.10809253824558616,0,3,1,3
344,344,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.0011748945187879212,-0.009912653632221722,0.4402760344601167,0,3,1,3
345,347,2,2,0.762,0.508,0.508,1,24,24,0.06854999999999997,-0.016255664667305596,-0.018660233391477127,-0.24332499118789197,1,3,1,3
348,349,1,1,0.457,0.457,0.457,1,8,8,0.026179999999999995,-0.04560987702080561,-0.02982722261726934,-0.35327540980751376,0,3,1,3
350,353,3,3,0.77,0.57,0.66,1,30,30,0.08428999999999998,0.18106569088337213,0.11116473287817598,0.27447451965071895,0,3,1,3
354,356,2,2,0.762,0.508,0.508,1,21,21,0.05642,-0.1088346679408055,-0.026525939441790918,0.05852085370315096,0,3,1,3
357,357,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.01797233020186313,-0.0415767134738052,-0.10985292562260271,0,3,1,3
358,361,2,2,0.762,0.508,0.508,1,27,27,0.0677,-0.062210599234247585,-0.1468492727922614,0.49091214151781953,0,3,1,3
362,367,4,4,0.762,0.762,0.762,1,49,49,0.13013999999999998,0.05259649690217713,-0.09778008649011993,-0.13819591255402142,1,3,1,3
368,372,4,4,0.762,0.762,0.762,1,45,45,0.11634,0.083868421711735,0.0712493687616013,-0.019489350909977582,0,3,1,3
373,378,5,5,1.17,0.77,0.66,1,53,53,0.14869,-0.0871556219848394,-0.036423048785091665,0.2406733014767443,1,3,1,3
379,389,7,7,1.075,0.87,0.9,1,92,92,0.26214,-0.03925724377059817,0.14120130896229505,-0.234602265368995,0,3,1,3
390,397,6,6,0.915,0.915,0.915,1,76,76,0.20414999999999994,0.12606507750068188,0.05594516179364713,0.2670400842153775,0,3,1,3
398,400,1,1,0.457,0.457,0.457,1,13,13,0.04191999999999999,-0.034389332368726204,0.03826935635077503,0.21678977933014465,1,3,1,3
401,403,2,2,0.762,0.508,0.508,1,19,19,0.051119999999999985,-0.09911483291497775,-0.06896419926470125,-0.2288202129303031,0,3,1,3
