frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,0,0,0,0.229,0.152,0.152,1,3,3,0.01072,-0.010075161282120673,0.008793795931790268,-0.05679550701952657,1,3,1,3
1,1,0,0,0.229,0.152,0.152,1,2,2,0.00835,-0.015365941270581895,0.010916830160187619,0.2847397484373309,0,3,1,3
2,4,1,1,0.762,0.508,0.508,1,19,19,0.05139999999999998,-0.04991134784935131,-0.043124269324955396,-0.03832013835533717,0,3,1,3
5,5,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.008994015303284175,0.012758179125886773,0.4689056900744727,0,3,1,3
6,6,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.0047037177385573945,0.04724554441403591,-0.620639278787947,0,3,1,3
7,12,2,2,1.075,0.87,0.55,1,49,49,0.09583999999999998,-0.16798699340089218,0.10602259175847312,0.29606997776498817,0,3,1,3
13,23,3,3,1.075,0.87,0.9,1,91,91,0.25154,-0.08028621717992668,-0.07450692144991317,-0.11627748998538798,0,3,1,3
24,24,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.005529134437797452,-0.038263860503363514,-0.3422608686091688,1,3,1,3
25,25,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,-0.0042395501583473594,-0.021972273018515582,0.6872658883495995,1,3,1,3
26,29,1,1,0.762,0.508,0.508,1,25,25,0.07508999999999998,-0.09554558947332452,0.1316875032854291,-0.15968093556603655,1,3,1,3
30,37,2,2,1.075,0.87,0.55,1,54,54,0.16344999999999996,-0.06204015051315179,0.024179933498835494,-0.4675825161794911,1,3,1,3
38,38,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.01168007159695957,0.02763745296934975,0.40503907456747396,0,3,1,3
39,49,3,3,1.075,0.87,0.9,1,82,82,0.23467,-0.11709649224051534,-0.2574370671618872,0.10589185676520177,1,3,1,3
50,51,1,1,0.762,0.508,0.508,1,21,21,0.054619999999999974,0.033221888075053885,-0.10249890076718728,0.13452824900851956,1,3,1,3
52,61,3,3,1.075,0.87,0.9,1,93,93,0.2394,-0.04768286533113853,0.16511714945988398,-0.08487366693112124,0,3,1,3
62,62,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.018394582851883258,0.0010152912743516657,0.11436143799343838,0,3,1,3
63,64,1,1,0.762,0.508,0.508,1,20,20,0.05461999999999998,-0.042796253361283516,-0.09640172097187186,-0.15196841894320795,1,3,1,3
65,65,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.001306317018219669,0.003312600685490827,0.1432029780717712,0,3,1,3
66,76,3,3,1.075,0.87,0.9,1,87,87,0.20969999999999997,-0.26361711663107834,0.12218325052256998,0.052080637635165204,0,3,1,3
77,83,2,2,1.075,0.87,0.55,1,56,56,0.16233999999999998,-0.09406077477238008,-0.04940095677320141,-0.26525687710843054,1,3,1,3
84,84,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.0014660372020424573,-0.012678083359465051,-0.4459819601832278,0,3,1,3
85,89,2,2,1.075,0.87,0.55,1,44,44,0.11006999999999997,-0.047764208374725205,-0.1297109693524981,-0.04658550648649739,0,3,1,3
90,92,1,1,0.762,0.508,0.508,1,22,22,0.05641999999999999,-0.043901567284726335,0.11107465123016534,0.07561509783635183,0,3,1,3
93,104,3,3,1.075,0.87,0.9,1,76,76,0.21864999999999998,0.16015440225501612,-0.1404824486312076,-0.17513536122774254,1,3,1,3
105,105,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.05659414764697769,0.028270150516293148,-0.47307397138658003,0,3,1,3
