frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,11,13,13,1.12,0.8,1,1,104,104,0.30129999999999996,-0.12167211396204765,-0.02244371120886965,0.37979708458391753,0,2.5,1,2.5
12,12,1,1,0.457,0.305,0.254,1,1,1,0.005980000000000001,-0.07812214210784814,0.03126638823460739,-0.04032560707756656,1,2.5,1,2.5
13,13,2,2,0.457,0.457,0.457,1,6,6,0.01782999999999999,-0.10799333463158828,-0.04827903953590695,-0.652906465514361,0,2.5,1,2.5
14,24,5,5,0.508,0.457,1.219,0,31,27,0.09924000000000001,-0.05777679253471929,-0.06122373676662291,0.014957448572893016,1,2.5,1,2.5
25,26,1,1,0.457,0.305,0.254,1,3,3,0.01433,0.03261310048882553,0.07614575352272693,0.8512252332675713,1,2.5,1,2.5
27,39,13,13,1.12,0.8,1,1,114,114,0.33503,0.11272102046129966,-0.024816118019413535,-0.027212577581203566,0,2.5,1,2.5
40,40,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.03405379800956544,0.019425019509722818,0.17938996492578022,1,2.5,1,2.5
41,46,7,7,0.966,0.61,0.686,1,49,49,0.13878,-0.07550254605689681,-0.14137489731775948,0.11476587293686834,1,2.5,1,2.5
47,57,15,15,1.12,0.77,1.2,1,96,96,0.28151,0.026792538027484054,0.10594946972971683,-0.01316848670228502,0,2.5,1,2.5
58,85,15,15,1.12,0.77,1.2,0,108,102,0.30996,0.09339573674064157,-0.0780166014333903,-0.24329882589473206,1,2.5,1,2.5
86,89,5,5,0.508,0.457,1.219,1,32,32,0.09083999999999998,-0.0495954178648535,-0.043126030449930616,0.07032741412971537,0,2.5,1,2.5
90,90,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.02199891419488662,0.010089867577128691,-0.02021757014062316,0,2.5,1,2.5
91,94,2,2,0.457,0.457,0.457,1,12,12,0.04315999999999998,-0.04264825862318363,0.03196585762580741,-0.1133239947014074,0,2.5,1,2.5
95,101,10,10,1.17,0.77,0.66,1,61,61,0.16973,-0.09958890473657063,0.11600293839709024,-0.5375549157049254,1,2.5,1,2.5
102,111,13,13,1.12,0.8,1,1,88,88,0.25669999999999993,0.04525053170238746,0.14223793403143384,0.15583591511005443,0,2.5,1,2.5
112,115,4,4,0.6,0.6,0.6,1,22,22,0.06685999999999999,-0.08043330259614508,-0.011871953305722016,0.017436039261648353,1,2.5,1,2.5
116,118,5,5,0.508,0.457,1.219,1,22,22,0.06352999999999999,-0.06853513199837076,-0.00624713138034669,-0.4735589113110504,0,2.5,1,2.5
119,135,15,15,1.12,0.77,1.2,0,90,84,0.22813,0.03495106469682241,0.12598775275837482,0.04550333537149498,1,2.5,1,2.5
136,137,2,2,0.457,0.457,0.457,1,8,8,0.026180000000000002,0.05479802083356198,-0.03305900305183824,0.1216867873126097,1,2.5,1,2.5
138,138,1,1,0.457,0.305,0.254,1,2,2,0.008350000000000002,0.043135786580168645,-0.010410340077880803,-0.33907249835711945,0,2.5,1,2.5
139,146,10,10,1.17,0.77,0.66,1,68,68,0.19815999999999998,-0.2263797676569794,0.03601196853686204,-0.022897267379234372,1,2.5,1,2.5
147,147,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.01203474289905893,0.0011781590584786156,0.03549063933746987,0,2.5,1,2.5
148,149,1,1,0.457,0.305,0.254,1,4,4,0.016700000000000003,0.021641486681226074,-0.021822342457699075,-0.04178711384719368,0,2.5,1,2.5
150,165,15,15,1.12,0.77,1.2,0,93,83,0.23415,-0.0014846574593435173,0.041954168833854305,0.07052760326655676,1,2.5,1,2.5
166,166,1,1,0.457,0.305,0.254,1,2,2,0.00835,0.061100664875956695,-0.014324632297412146,-0.014763421130097343,1,2.5,1,2.5
167,174,13,13,1.12,0.8,1,1,82,82,0.22909999999999991,0.12945651413449272,-0.08921704903694228,0.19590200580177558,0,2.5,1,2.5
175,175,1,1,0.457,0.305,0.254,1,1,1,0.005980000000000001,-0.07377554973831638,-0.0842066085240887,0.03601437174887508,1,2.5,1,2.5
176,177,2,2,0.457,0.457,0.457,1,8,8,0.026180000000000002,0.0036588259962983182,-0.045733410399099686,-0.16397344822906418,1,2.5,1,2.5
178,190,15,15,1.12,0.77,1.2,1,113,113,0.3337799999999999,-0.04333108014924067,0.13495617870011237,-0.0722624708486388,0,2.5,1,2.5
191,193,3,3,0.762,0.457,0.457,1,16,16,0.04902999999999999,0.041396118306654316,-0.07062152457154054,0.13174066887469502,0,2.5,1,2.5
194,198,6,6,0.89,0.762,0.508,1,39,39,0.10295999999999998,0.18011390090366472,0.030564674531357718,0.003445782010429761,1,2.5,1,2.5
199,204,8,8,0.762,0.762,0.762,1,47,47,0.13528999999999997,-0.007034506328170188,0.08194612763648396,0.32703045128217295,0,2.5,1,2.5
205,215,13,13,1.12,0.8,1,1,92,92,0.22823,0.04099368704320958,-0.12762187681357792,-0.49863034232541104,1,2.5,1,2.5
216,224,13,13,1.12,0.8,1,1,84,84,0.23828999999999997,0.08268734817231486,0.11242743835724607,0.3038452265605049,0,2.5,1,2.5
225,226,2,2,0.457,0.457,0.457,1,9,9,0.028549999999999992,0.047910975183325925,0.04550238853099076,0.04596850919727298,0,2.5,1,2.5
227,233,8,8,0.762,0.762,0.762,1,55,55,0.13555999999999999,0.11212896706926855,-0.15503558410882662,0.3651051860100029,1,2.5,1,2.5
234,242,13,13,1.12,0.8,1,1,85,85,0.24164999999999992,-0.012908483615697389,0.1059589495384949,-0.5115968165102907,0,2.5,1,2.5
243,248,9,9,1.075,0.87,0.55,1,52,52,0.14769999999999997,0.09186635445405662,-0.060213434995727864,-0.19325058557133923,0,2.5,1,2.5
249,249,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.04131861193454185,0.014960654653745444,-0.18428168706323747,0,2.5,1,2.5
250,251,3,3,0.762,0.457,0.457,1,16,16,0.04541999999999999,-0.020972116357432454,0.05435353360490382,-0.10900634966278257,0,2.5,1,2.5
252,257,10,10,1.17,0.77,0.66,1,54,54,0.15019999999999997,0.17060163856908858,-0.2672933168480837,0.5742132472609295,0,2.5,1,2.5
258,260,4,4,0.6,0.6,0.6,1,17,17,0.0514,-0.07968730515310121,0.06582225438816788,0.025589281139079174,1,2.5,1,2.5
261,266,7,7,0.966,0.61,0.686,1,45,45,0.11897999999999999,0.03167359046759551,-0.048918242750256066,0.3463737285028541,1,2.5,1,2.5
267,270,5,5,0.508,0.457,1.219,1,27,27,0.07842999999999999,-0.04870593428264898,0.008919087981044087,0.10190305493552401,0,2.5,1,2.5
271,283,15,15,1.12,0.77,1.2,1,114,114,0.3392299999999999,-0.010091070884962437,-0.08101333423283164,-0.1839985928614229,0,2.5,1,2.5
284,287,7,7,0.966,0.61,0.686,1,38,38,0.10477999999999997,0.08500067177670151,-0.05126393377079092,-0.09257383770521123,0,2.5,1,2.5
288,298,14,14,1.17,0.77,1.05,1,96,96,0.19519999999999998,0.24682414603690184,-0.06792215436551649,-0.29020536947077646,1,2.5,1,2.5
299,303,7,7,0.966,0.61,0.686,1,38,38,0.10448999999999997,0.06464565406489603,-0.07418189541419784,0.4546338049659928,1,2.5,1,2.5
304,307,6,6,0.89,0.762,0.508,1,35,35,0.09878999999999999,-0.07535681505227881,-0.11525362762914255,-0.13994033014700005,1,2.5,1,2.5
308,311,7,7,0.966,0.61,0.686,1,38,38,0.10533999999999998,0.027102792379884135,0.061167982965924995,-0.30850147157172475,0,2.5,1,2.5
312,322,12,12,1.075,0.87,0.9,1,92,92,0.26494,-0.09267742309042329,-0.028486898856355837,-0.031090096662075815,1,2.5,1,2.5
323,324,3,3,0.762,0.457,0.457,1,17,17,0.04751,0.026050255909823322,0.19223201847702479,-0.09601249216328492,0,2.5,1,2.5
325,335,14,14,1.17,0.77,1.05,1,83,83,0.20661999999999994,0.012394354675222848,-0.024545434800864033,-0.16108389546468216,1,2.5,1,2.5
336,340,9,9,1.075,0.87,0.55,1,49,49,0.12874999999999998,-0.12600732829879432,-0.041549732738344794,0.2022755169212218,0,2.5,1,2.5
341,346,10,10,1.17,0.77,0.66,1,58,58,0.14198999999999998,0.1510023394406535,-2.2983760478354712E-4,0.11441738127293415,1,2.5,1,2.5
347,347,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.004735499466022146,-0.018659431957817205,0.2414445329075756,0,2.5,1,2.5
348,355,14,14,1.17,0.77,1.05,1,78,78,0.18643999999999997,0.010386410396891666,-0.04861523402141109,0.10165002979927013,1,2.5,1,2.5
356,364,11,11,0.915,0.915,0.915,1,78,78,0.20943999999999996,-0.15629694115343606,0.07254498956211163,0.021991202832156855,1,2.5,1,2.5
365,365,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.034143736344127616,-0.018955346660438924,-0.2798080999239681,1,2.5,1,2.5
366,367,3,3,0.762,0.457,0.457,1,16,16,0.04541999999999999,0.07282334012714435,-0.09592410851790767,-0.19992012452849903,1,2.5,1,2.5
368,379,13,13,1.12,0.8,1,1,100,100,0.2934799999999999,-0.033696875481072426,-0.06558981486592397,0.24780346311661955,0,2.5,1,2.5
380,381,1,1,0.457,0.305,0.254,1,4,4,0.0167,-0.008048380097077907,-0.03740154229343354,-0.121945944245884,1,2.5,1,2.5
382,391,12,12,1.075,0.87,0.9,1,87,87,0.2520899999999999,-0.09928398356552096,-0.17157885414126567,0.19282671709467053,0,2.5,1,2.5
392,394,3,3,0.762,0.457,0.457,1,18,18,0.05432999999999999,-0.07852427329467589,0.015607115136025274,-0.1692401034609146,0,2.5,1,2.5
395,399,8,8,0.762,0.762,0.762,1,51,51,0.14059999999999997,0.09847934553723814,-0.012284725430678054,0.48249853655312397,0,2.5,1,2.5
400,405,8,8,0.762,0.762,0.762,1,55,55,0.14616999999999997,-0.05874381009568536,-0.2140395763970166,-0.6881063837270017,1,2.5,1,2.5
406,409,6,6,0.89,0.762,0.508,1,40,40,0.11119999999999997,-0.013312391846595021,-0.08224959362524785,-0.004977878943696175,0,2.5,1,2.5
410,412,3,3,0.762,0.457,0.457,1,18,18,0.05404999999999998,0.02190356881416592,0.04606634248754345,0.23557795233866533,1,2.5,1,2.5
413,413,1,1,0.457,0.305,0.254,1,3,3,0.01072,0.06946100113216695,0.09832800670268234,0.0945244083092822,1,2.5,1,2.5
414,422,15,15,1.12,0.77,1.2,1,82,82,0.23229999999999995,-0.009045202858766076,0.011187691292706645,-0.10428798268645169,0,2.5,1,2.5
423,428,10,10,1.17,0.77,0.66,1,58,58,0.14463999999999994,0.0528459981239334,-0.13471725099697046,-0.20537038971050806,1,2.5,1,2.5
429,432,4,4,0.6,0.6,0.6,1,24,24,0.07132,-0.05056948519990484,0.04581962850248934,-0.142477822511095,0,2.5,1,2.5
433,440,12,12,1.075,0.87,0.9,1,76,76,0.21487999999999993,0.06534563845745969,0.06480317091636997,0.09283830815789024,0,2.5,1,2.5
441,445,9,9,1.075,0.87,0.55,1,45,45,0.11829999999999996,-0.03517192143112246,-0.21466342781849349,0.27253310740896447,1,2.5,1,2.5
446,453,13,13,1.12,0.8,1,1,78,78,0.17779999999999999,0.1161978792978603,0.017412950165204156,0.10615716872209145,1,2.5,1,2.5
454,472,15,15,1.12,0.77,1.2,0,99,94,0.25377000000000005,0.050797103272727254,0.0902699848456093,0.11887392829266635,1,2.5,1,2.5
473,482,13,13,1.12,0.8,1,1,89,89,0.21821999999999997,0.041904144385386345,-0.08174594316661253,0.07642325200088004,1,2.5,1,2.5
483,485,2,2,0.457,0.457,0.457,1,16,16,0.04902999999999999,-0.0761144015434155,0.07471137424691388,-0.4939371309681681,1,2.5,1,2.5
486,498,15,15,1.12,0.77,1.2,1,103,103,0.3057499999999999,-0.1063226136223971,-0.12573044843811507,-0.5579031535557191,0,2.5,1,2.5
499,513,14,14,1.17,0.77,1.05,1,117,117,0.35246,-0.05734552656691774,0.08929638643993626,-0.07494662380838207,0,2.5,1,2.5
514,514,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.0010098001000311714,0.04574745414099855,0.13492278692959664,1,2.5,1,2.5
515,520,9,9,1.075,0.87,0.55,1,54,54,0.14295999999999995,0.06257053219095955,-0.08940235008492319,-0.011723271190835133,1,2.5,1,2.5
521,562,15,15,1.12,0.77,1.2,0,89,84,0.32049000000000005,0.00998465242496323,-0.09908591315553092,0.31031426685150676,1,2.5,1,2.5
563,567,9,9,1.075,0.87,0.55,1,35,35,0.10058999999999997,-0.05943340727875779,0.07233225799864827,-0.21230548896583581,1,2.5,1,2.5
568,573,10,10,1.17,0.77,0.66,1,55,55,0.14881999999999995,-0.15965257538921282,-0.019927181311866663,0.35215416415651457,1,2.5,1,2.5
574,575,3,3,0.762,0.457,0.457,1,15,15,0.04276999999999999,-0.048391782641603855,-0.09361396382525458,0.11436818310247426,0,2.5,1,2.5
576,582,12,12,1.075,0.87,0.9,1,70,70,0.19592999999999994,0.005099465143834622,0.01827656223708376,0.0624791937773888,0,2.5,1,2.5
583,583,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.018522408735474297,-0.013718481449364233,0.5306348181231403,0,2.5,1,2.5
