frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,4,8,8,0.762,0.762,0.762,1,52,52,0.14268999999999996,-0.021291574352419528,-0.15484126938697143,-0.2958978927858001,0,2,1,2
5,9,9,9,1.075,0.87,0.55,1,40,40,0.11312999999999997,-0.06792024506084215,-0.008291697795521377,-0.13723398595847347,0,2,1,2
10,10,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.013280112281030541,-0.013292271448559342,0.3932171784712886,1,2,1,2
11,50,14,14,1.17,0.77,1.05,0,96,68,0.2872000000000001,-0.1288020644639758,0.11729674427332851,0.28560735424291667,1,2,1,2
51,54,6,6,0.89,0.762,0.508,1,34,34,0.09320999999999999,-0.06688412916214666,0.04340939431630985,0.03311085962017028,1,2,1,2
55,59,7,7,0.966,0.61,0.686,1,46,46,0.12735,0.12249006774199177,-0.007134040693974193,0.32172307453013743,0,2,1,2
60,69,5,5,0.508,0.457,1.219,0,28,16,0.07165,-0.04987619382892578,-0.037044625246118165,0.17269134514950618,1,2,1,2
70,76,10,10,1.17,0.77,0.66,1,67,67,0.18909999999999996,0.03022806101927336,0.17154767844782146,-0.23771986224427397,0,2,1,2
77,102,13,13,1.12,0.8,1,0,85,62,0.19982000000000003,0.022481289267225615,0.21306466456118028,-0.014634692361218213,1,2,1,2
103,112,12,12,1.075,0.87,0.9,1,89,89,0.25991,0.045184867261163504,0.0657507126140387,-0.04184586630023973,0,2,1,2
113,120,12,12,1.075,0.87,0.9,1,76,76,0.21656,0.036364371886121634,-0.006263979410527937,0.4220214457904519,0,2,1,2
121,130,5,5,0.508,0.457,1.219,0,22,17,0.06691000000000001,-0.004444816047333552,0.013870889346653498,-0.07947360624069867,1,2,1,2
131,158,13,13,1.12,0.8,1,0,109,79,0.28513999999999995,-0.013451119780386418,-0.04936159937543367,-0.06999034399636074,1,2,1,2
159,173,12,12,1.075,0.87,0.9,0,88,71,0.19622,0.06266594930754142,0.09842048220534909,0.09721413242059272,1,2,1,2
