frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,13,5,5,1.17,0.77,0.66,0,52,49,0.16779,0.3576767827724678,-0.09868107045721883,-0.30405101265444134,0,2,1,2
14,15,1,1,0.457,0.457,0.457,1,10,10,0.03091999999999999,-0.007161719288221739,0.016112428381966887,0.1371120798265453,0,2,1,2
16,24,6,6,0.915,0.915,0.915,1,89,89,0.2509799999999999,0.31290248046137314,-0.05154972888085451,0.287222852071953,0,2,1,2
25,39,7,7,1.075,0.87,0.9,0,80,68,0.15649,0.025880668933727136,0.09590290904607744,0.15929053113636998,1,2,1,2
40,51,4,4,0.762,0.762,0.762,0,44,43,0.10843,0.1000397362284834,0.0021021174055091373,0.5389396930925933,1,2,1,2
52,54,3,3,0.77,0.57,0.66,1,27,27,0.07537999999999999,-0.01694831997414006,0.13911731918499537,-0.008183608238503037,0,2,1,2
55,65,7,7,1.075,0.87,0.9,1,101,101,0.2855399999999999,-0.22081452101657487,-0.04540209011524308,0.16591096220736065,0,2,1,2
66,73,7,7,1.075,0.87,0.9,1,70,70,0.20149999999999998,-0.021615770994562567,0.013501067712596404,-0.35161302829503027,0,2,1,2
74,79,5,5,1.17,0.77,0.66,1,67,67,0.15034999999999998,0.026810905973353536,-0.028461602126707407,-0.050055875337969284,1,2,1,2
80,80,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.04869705896457179,-0.002449563729156011,-0.32019522611139745,0,2,1,2
81,84,2,2,0.762,0.508,0.508,1,32,32,0.08609999999999998,-0.11586329632768164,-0.1912552380092949,0.02298642580031228,1,2,1,2
85,86,1,1,0.457,0.457,0.457,1,8,8,0.026180000000000002,-0.009749936426123809,0.009831697767138983,0.07115876682307798,0,2,1,2
87,112,6,6,0.915,0.915,0.915,0,71,59,0.20777000000000007,0.03304663888253671,0.10704905318790489,0.05236227268715983,1,2,1,2
