frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,0,1,1,0.457,0.305,0.254,1,2,2,0.008350000000000002,0,0,0,1,3,1,3
1,16,14,14,1.17,0.77,1.05,1,96,96,0.291,0,0,0,1,3,1,3
17,17,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
18,18,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
19,27,11,11,0.915,0.915,0.915,1,69,69,0.19746,0,0,0,1,3,1,3
28,28,0,0,0.229,0.152,0.152,1,2,2,0.008350000000000002,0,0,0,1,3,1,3
29,34,9,9,1.075,0.87,0.55,1,50,50,0.13780999999999996,0,0,0,1,3,1,3
35,35,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
36,53,14,14,1.17,0.77,1.05,1,104,104,0.32292999999999994,0,0,0,1,3,1,3
54,60,9,9,1.075,0.87,0.55,1,54,54,0.14868,0,0,0,1,3,1,3
61,61,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
62,64,4,4,0.6,0.6,0.6,1,24,24,0.06826999999999998,0,0,0,1,3,1,3
65,74,10,10,1.17,0.77,0.66,1,69,69,0.19927999999999998,0,0,0,1,3,1,3
75,76,2,2,0.457,0.457,0.457,1,10,10,0.03091999999999999,0,0,0,1,3,1,3
77,79,5,5,0.508,0.457,1.219,1,17,17,0.04637999999999999,0,0,0,1,3,1,3
80,85,8,8,0.762,0.762,0.762,1,50,50,0.14379999999999998,0,0,0,1,3,1,3
86,96,10,10,1.17,0.77,0.66,1,73,73,0.21963,0,0,0,1,3,1,3
97,97,1,1,0.457,0.305,0.254,1,4,4,0.01309,0,0,0,1,3,1,3
98,107,13,13,1.12,0.8,1,1,73,73,0.21363000000000001,0,0,0,1,3,1,3
108,118,12,12,1.075,0.87,0.9,1,80,80,0.22854999999999998,0,0,0,1,3,1,3
119,123,6,6,0.89,0.762,0.508,1,32,32,0.09319999999999999,0,0,0,1,3,1,3
124,132,13,13,1.12,0.8,1,1,72,72,0.19202999999999998,0,0,0,1,3,1,3
133,133,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
134,135,3,3,0.762,0.457,0.457,1,11,11,0.033569999999999996,0,0,0,1,3,1,3
136,142,7,7,0.966,0.61,0.686,1,44,44,0.12538999999999997,0,0,0,1,3,1,3
143,153,11,11,0.915,0.915,0.915,1,74,74,0.21558,0,0,0,1,3,1,3
154,158,5,5,0.508,0.457,1.219,1,33,33,0.09319999999999998,0,0,0,1,3,1,3
159,170,11,11,0.915,0.915,0.915,1,80,80,0.23231,0,0,0,1,3,1,3
171,189,13,13,1.12,0.8,1,1,100,100,0.32974999999999993,0,0,0,1,3,1,3
