frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,16,6,6,0.915,0.915,0.915,1,95,95,0.31037999999999993,0,0,0,1,3,1,3
17,21,5,5,1.17,0.77,0.66,1,43,43,0.11941999999999998,0,0,0,1,3,1,3
22,25,4,4,0.762,0.762,0.762,1,32,32,0.08874999999999997,0,0,0,1,3,1,3
26,34,6,6,0.915,0.915,0.915,1,69,69,0.19537000000000002,0,0,0,1,3,1,3
35,38,3,3,0.77,0.57,0.66,1,34,34,0.09585999999999997,0,0,0,1,3,1,3
39,45,5,5,1.17,0.77,0.66,1,53,53,0.14490999999999998,0,0,0,1,3,1,3
46,49,3,3,0.77,0.57,0.66,1,33,33,0.09432999999999997,0,0,0,1,3,1,3
50,58,5,5,1.17,0.77,0.66,1,68,68,0.19383999999999998,0,0,0,1,3,1,3
59,73,6,6,0.915,0.915,0.915,1,89,89,0.28808,0,0,0,1,3,1,3
74,78,4,4,0.762,0.762,0.762,1,38,38,0.11006999999999997,0,0,0,1,3,1,3
79,83,4,4,0.762,0.762,0.762,1,42,42,0.12010999999999997,0,0,0,1,3,1,3
84,84,0,0,0.229,0.152,0.152,1,2,2,0.008350000000000002,0,0,0,1,3,1,3
85,86,1,1,0.457,0.457,0.457,1,10,10,0.030919999999999996,0,0,0,1,3,1,3
87,91,4,4,0.762,0.762,0.762,1,28,28,0.08580999999999998,0,0,0,1,3,1,3
92,103,7,7,1.075,0.87,0.9,1,82,82,0.2464,0,0,0,1,3,1,3
104,109,4,4,0.762,0.762,0.762,1,45,45,0.13306999999999997,0,0,0,1,3,1,3
110,112,2,2,0.762,0.508,0.508,1,20,20,0.058509999999999986,0,0,0,1,3,1,3
113,120,6,6,0.915,0.915,0.915,1,57,57,0.15940000000000001,0,0,0,1,3,1,3
121,123,2,2,0.762,0.508,0.508,1,19,19,0.05613999999999999,0,0,0,1,3,1,3
124,132,6,6,0.915,0.915,0.915,1,75,75,0.21544999999999995,0,0,0,1,3,1,3
133,143,7,7,1.075,0.87,0.9,1,70,70,0.20163999999999999,0,0,0,1,3,1,3
144,144,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
145,156,7,7,1.075,0.87,0.9,1,84,84,0.22838999999999998,0,0,0,1,3,1,3
157,159,2,2,0.762,0.508,0.508,1,20,20,0.05850999999999998,0,0,0,1,3,1,3
160,165,4,4,0.762,0.762,0.762,1,47,47,0.13097999999999999,0,0,0,1,3,1,3
166,174,5,5,1.17,0.77,0.66,1,61,61,0.17111,0,0,0,1,3,1,3
175,178,4,4,0.762,0.762,0.762,1,32,32,0.09195999999999999,0,0,0,1,3,1,3
179,181,2,2,0.762,0.508,0.508,1,23,23,0.06645999999999998,0,0,0,1,3,1,3
182,188,5,5,1.17,0.77,0.66,1,57,57,0.15969,0,0,0,1,3,1,3
189,190,1,1,0.457,0.457,0.457,1,12,12,0.03565999999999998,0,0,0,1,3,1,3
191,191,1,1,0.457,0.457,0.457,1,2,2,0.00835,0,0,0,1,3,1,3
192,192,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
193,194,1,1,0.457,0.457,0.457,1,12,12,0.03565999999999999,0,0,0,1,3,1,3
195,202,5,5,1.17,0.77,0.66,1,54,54,0.14546,0,0,0,1,3,1,3
203,205,2,2,0.762,0.508,0.508,1,15,15,0.04637999999999999,0,0,0,1,3,1,3
206,207,2,2,0.762,0.508,0.508,1,16,16,0.04514,0,0,0,1,3,1,3
208,213,5,5,1.17,0.77,0.66,1,47,47,0.13864999999999997,0,0,0,1,3,1,3
214,214,1,1,0.457,0.457,0.457,1,4,4,0.01309,0,0,0,1,3,1,3
215,226,7,7,1.075,0.87,0.9,1,85,85,0.25071,0,0,0,1,3,1,3
227,229,2,2,0.762,0.508,0.508,1,19,19,0.056419999999999984,0,0,0,1,3,1,3
230,236,5,5,1.17,0.77,0.66,1,54,54,0.15844,0,0,0,1,3,1,3
237,249,6,6,0.915,0.915,0.915,1,91,91,0.27524,0,0,0,1,3,1,3
250,255,3,3,0.77,0.57,0.66,1,38,38,0.11592,0,0,0,1,3,1,3
256,256,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
257,262,5,5,1.17,0.77,0.66,1,55,55,0.14687999999999996,0,0,0,1,3,1,3
263,263,1,1,0.457,0.457,0.457,1,8,8,0.022569999999999993,0,0,0,1,3,1,3
264,276,7,7,1.075,0.87,0.9,1,87,87,0.26173,0,0,0,1,3,1,3
277,281,3,3,0.77,0.57,0.66,1,42,42,0.11913999999999997,0,0,0,1,3,1,3
282,285,3,3,0.77,0.57,0.66,1,32,32,0.09167999999999998,0,0,0,1,3,1,3
286,287,1,1,0.457,0.457,0.457,1,10,10,0.030919999999999993,0,0,0,1,3,1,3
288,290,2,2,0.762,0.508,0.508,1,27,27,0.0751,0,0,0,1,3,1,3
291,292,2,2,0.762,0.508,0.508,1,15,15,0.04304999999999999,0,0,0,1,3,1,3
293,294,1,1,0.457,0.457,0.457,1,12,12,0.03566,0,0,0,1,3,1,3
295,298,2,2,0.762,0.508,0.508,1,25,25,0.07453,0,0,0,1,3,1,3
299,301,3,3,0.77,0.57,0.66,1,24,24,0.06826999999999998,0,0,0,1,3,1,3
302,304,1,1,0.457,0.457,0.457,1,10,10,0.034809999999999994,0,0,0,1,3,1,3
305,306,1,1,0.457,0.457,0.457,1,7,7,0.023809999999999998,0,0,0,1,3,1,3
307,316,7,7,1.075,0.87,0.9,1,77,77,0.22507,0,0,0,1,3,1,3
317,320,3,3,0.77,0.57,0.66,1,26,26,0.07452999999999997,0,0,0,1,3,1,3
321,324,3,3,0.77,0.57,0.66,1,30,30,0.08637999999999998,0,0,0,1,3,1,3
325,332,5,5,1.17,0.77,0.66,1,61,61,0.15870999999999996,0,0,0,1,3,1,3
333,334,1,1,0.457,0.457,0.457,1,9,9,0.02855,0,0,0,1,3,1,3
335,350,6,6,0.915,0.915,0.915,1,90,90,0.29100000000000004,0,0,0,1,3,1,3
351,358,4,4,0.762,0.762,0.762,1,56,56,0.16958999999999996,0,0,0,1,3,1,3
359,359,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
360,360,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,0,0,0,1,3,1,3
361,369,7,7,1.075,0.87,0.9,1,66,66,0.18825999999999998,0,0,0,1,3,1,3
370,379,6,6,0.915,0.915,0.915,1,65,65,0.18086000000000002,0,0,0,1,3,1,3
380,388,6,6,0.915,0.915,0.915,1,70,70,0.19314999999999996,0,0,0,1,3,1,3
389,397,6,6,0.915,0.915,0.915,1,70,70,0.19480999999999998,0,0,0,1,3,1,3
398,414,6,6,0.915,0.915,0.915,1,98,98,0.31848,0,0,0,1,3,1,3
415,419,3,3,0.77,0.57,0.66,1,30,30,0.09138999999999999,0,0,0,1,3,1,3
420,424,4,4,0.762,0.762,0.762,1,44,44,0.11773999999999998,0,0,0,1,3,1,3
425,426,1,1,0.457,0.457,0.457,1,13,13,0.03859,0,0,0,1,3,1,3
427,440,7,7,1.075,0.87,0.9,1,91,91,0.26814,0,0,0,1,3,1,3
441,445,4,4,0.762,0.762,0.762,1,37,37,0.10825999999999995,0,0,0,1,3,1,3
446,449,2,2,0.762,0.508,0.508,1,25,25,0.07480999999999999,0,0,0,1,3,1,3
450,454,4,4,0.762,0.762,0.762,1,41,41,0.11411999999999999,0,0,0,1,3,1,3
455,455,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
456,456,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
457,458,1,1,0.457,0.457,0.457,1,8,8,0.026180000000000002,0,0,0,1,3,1,3
459,469,7,7,1.075,0.87,0.9,1,79,79,0.22465000000000002,0,0,0,1,3,1,3
470,472,3,3,0.77,0.57,0.66,1,25,25,0.07091999999999998,0,0,0,1,3,1,3
473,484,6,6,0.915,0.915,0.915,1,83,83,0.23259000000000002,0,0,0,1,3,1,3
485,487,3,3,0.77,0.57,0.66,1,21,21,0.05878999999999999,0,0,0,1,3,1,3
488,502,7,7,1.075,0.87,0.9,1,91,91,0.28306,0,0,0,1,3,1,3
503,504,1,1,0.457,0.457,0.457,1,7,7,0.023809999999999998,0,0,0,1,3,1,3
505,512,6,6,0.915,0.915,0.915,1,63,63,0.16553999999999996,0,0,0,1,3,1,3
513,520,6,6,0.915,0.915,0.915,1,65,65,0.16721999999999998,0,0,0,1,3,1,3
521,521,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
522,541,7,7,1.075,0.87,0.9,1,99,99,0.33185000000000003,0,0,0,1,3,1,3
542,547,4,4,0.762,0.762,0.762,1,54,54,0.14784999999999998,0,0,0,1,3,1,3
548,555,5,5,1.17,0.77,0.66,1,55,55,0.15591,0,0,0,1,3,1,3
556,559,3,3,0.77,0.57,0.66,1,25,25,0.07452999999999997,0,0,0,1,3,1,3
560,562,3,3,0.77,0.57,0.66,1,21,21,0.05962999999999999,0,0,0,1,3,1,3
563,572,7,7,1.075,0.87,0.9,1,77,77,0.21530999999999997,0,0,0,1,3,1,3
573,573,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
574,578,4,4,0.762,0.762,0.762,1,40,40,0.11592999999999998,0,0,0,1,3,1,3
579,583,4,4,0.762,0.762,0.762,1,37,37,0.10881999999999999,0,0,0,1,3,1,3
584,594,7,7,1.075,0.87,0.9,1,85,85,0.23984,0,0,0,1,3,1,3
595,599,4,4,0.762,0.762,0.762,1,39,39,0.11299999999999999,0,0,0,1,3,1,3
600,605,4,4,0.762,0.762,0.762,1,42,42,0.12539999999999998,0,0,0,1,3,1,3
606,611,4,4,0.762,0.762,0.762,1,44,44,0.12568,0,0,0,1,3,1,3
612,622,7,7,1.075,0.87,0.9,1,72,72,0.20902999999999997,0,0,0,1,3,1,3
623,625,2,2,0.762,0.508,0.508,1,23,23,0.06645999999999998,0,0,0,1,3,1,3
626,627,1,1,0.457,0.457,0.457,1,9,9,0.028549999999999992,0,0,0,1,3,1,3
628,635,6,6,0.915,0.915,0.915,1,68,68,0.17822999999999997,0,0,0,1,3,1,3
636,636,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,3,1,3
637,646,6,6,0.915,0.915,0.915,1,69,69,0.20107,0,0,0,1,3,1,3
647,659,6,6,0.915,0.915,0.915,1,85,85,0.25098000000000004,0,0,0,1,3,1,3
660,663,2,2,0.762,0.508,0.508,1,27,27,0.07898999999999999,0,0,0,1,3,1,3
664,665,1,1,0.457,0.457,0.457,1,11,11,0.03328999999999999,0,0,0,1,3,1,3
