frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,7,11,11,0.915,0.915,0.915,1,75,75,0.19410999999999995,0,0,0,1,2.5,1,2.5
8,17,12,12,1.075,0.87,0.9,1,83,83,0.23286999999999997,0,0,0,1,2.5,1,2.5
18,27,12,12,1.075,0.87,0.9,1,85,85,0.21696999999999997,0,0,0,1,2.5,1,2.5
28,33,9,9,1.075,0.87,0.55,1,48,48,0.13334999999999997,0,0,0,1,2.5,1,2.5
34,38,8,8,0.762,0.762,0.762,1,43,43,0.10797999999999998,0,0,0,1,2.5,1,2.5
39,75,15,15,1.12,0.77,1.2,0,105,97,0.33913000000000004,0,0,0,1,2.5,1,2.5
76,79,8,8,0.762,0.762,0.762,1,37,37,0.10352999999999998,0,0,0,1,2.5,1,2.5
80,82,4,4,0.6,0.6,0.6,1,23,23,0.06352999999999998,0,0,0,1,2.5,1,2.5
83,87,7,7,0.966,0.61,0.686,1,40,40,0.10616999999999999,0,0,0,1,2.5,1,2.5
88,103,13,13,1.12,0.8,1,1,111,111,0.32583999999999996,0,0,0,1,2.5,1,2.5
104,118,14,14,1.17,0.77,1.05,1,106,106,0.27558999999999995,0,0,0,1,2.5,1,2.5
119,120,4,4,0.6,0.6,0.6,1,16,16,0.04541999999999999,0,0,0,1,2.5,1,2.5
121,126,8,8,0.762,0.762,0.762,1,49,49,0.13166999999999998,0,0,0,1,2.5,1,2.5
127,132,10,10,1.17,0.77,0.66,1,52,52,0.13696999999999998,0,0,0,1,2.5,1,2.5
133,138,9,9,1.075,0.87,0.55,1,52,52,0.14351999999999998,0,0,0,1,2.5,1,2.5
139,145,9,9,1.075,0.87,0.55,1,58,58,0.16623999999999997,0,0,0,1,2.5,1,2.5
146,150,8,8,0.762,0.762,0.762,1,45,45,0.12777999999999998,0,0,0,1,2.5,1,2.5
151,158,12,12,1.075,0.87,0.9,1,68,68,0.17765,0,0,0,1,2.5,1,2.5
159,159,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
160,165,7,7,0.966,0.61,0.686,1,46,46,0.11716999999999997,0,0,0,1,2.5,1,2.5
166,167,2,2,0.457,0.457,0.457,1,12,12,0.03593999999999999,0,0,0,1,2.5,1,2.5
168,177,5,5,0.508,0.457,1.219,0,26,24,0.07667,0,0,0,1,2.5,1,2.5
178,187,14,14,1.17,0.77,1.05,1,92,92,0.22948999999999994,0,0,0,1,2.5,1,2.5
188,197,11,11,0.915,0.915,0.915,1,84,84,0.21445,0,0,0,1,2.5,1,2.5
198,199,2,2,0.457,0.457,0.457,1,9,9,0.028549999999999992,0,0,0,1,2.5,1,2.5
200,200,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
