frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,8,7,7,1.075,0.87,0.9,1,84,84,0.21335999999999997,0,0,0,1,2.5,1,2.5
9,16,7,7,1.075,0.87,0.9,1,75,75,0.17807999999999996,0,0,0,1,2.5,1,2.5
17,27,7,7,1.075,0.87,0.9,1,92,92,0.25836999999999993,0,0,0,1,2.5,1,2.5
28,34,4,4,0.762,0.762,0.762,1,51,51,0.14351,0,0,0,1,2.5,1,2.5
35,37,2,2,0.762,0.508,0.508,1,16,16,0.048749999999999995,0,0,0,1,2.5,1,2.5
38,42,3,3,0.77,0.57,0.66,1,42,42,0.11006999999999999,0,0,0,1,2.5,1,2.5
43,45,2,2,0.762,0.508,0.508,1,26,26,0.07328999999999998,0,0,0,1,2.5,1,2.5
46,52,5,5,1.17,0.77,0.66,1,54,54,0.15033999999999997,0,0,0,1,2.5,1,2.5
53,53,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
54,57,3,3,0.77,0.57,0.66,1,34,34,0.09139999999999998,0,0,0,1,2.5,1,2.5
58,63,5,5,1.17,0.77,0.66,1,53,53,0.13724999999999998,0,0,0,1,2.5,1,2.5
64,67,2,2,0.762,0.508,0.508,1,16,16,0.052919999999999974,0,0,0,1,2.5,1,2.5
68,70,2,2,0.762,0.508,0.508,1,16,16,0.04958999999999998,0,0,0,1,2.5,1,2.5
71,78,6,6,0.915,0.915,0.915,1,73,73,0.19591999999999998,0,0,0,1,2.5,1,2.5
79,79,1,1,0.457,0.457,0.457,1,6,6,0.01783,0,0,0,1,2.5,1,2.5
80,82,3,3,0.77,0.57,0.66,1,23,23,0.06324999999999999,0,0,0,1,2.5,1,2.5
83,90,6,6,0.915,0.915,0.915,1,71,71,0.18322999999999998,0,0,0,1,2.5,1,2.5
91,91,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
92,93,2,2,0.762,0.508,0.508,1,19,19,0.05252999999999998,0,0,0,1,2.5,1,2.5
94,94,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
95,97,2,2,0.762,0.508,0.508,1,18,18,0.05405,0,0,0,1,2.5,1,2.5
98,105,5,5,1.17,0.77,0.66,1,64,64,0.16943999999999998,0,0,0,1,2.5,1,2.5
106,113,6,6,0.915,0.915,0.915,1,81,81,0.20623999999999995,0,0,0,1,2.5,1,2.5
114,114,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
115,120,5,5,1.17,0.77,0.66,1,48,48,0.13362999999999997,0,0,0,1,2.5,1,2.5
121,123,1,1,0.457,0.457,0.457,1,15,15,0.04637999999999999,0,0,0,1,2.5,1,2.5
124,126,2,2,0.762,0.508,0.508,1,20,20,0.05878999999999999,0,0,0,1,2.5,1,2.5
127,131,3,3,0.77,0.57,0.66,1,33,33,0.09110999999999998,0,0,0,1,2.5,1,2.5
132,132,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
133,133,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
134,136,2,2,0.762,0.508,0.508,1,22,22,0.06352999999999998,0,0,0,1,2.5,1,2.5
137,143,6,6,0.915,0.915,0.915,1,65,65,0.17279,0,0,0,1,2.5,1,2.5
144,155,7,7,1.075,0.87,0.9,1,89,89,0.24735000000000001,0,0,0,1,2.5,1,2.5
156,160,3,3,0.77,0.57,0.66,1,30,30,0.09026999999999998,0,0,0,1,2.5,1,2.5
161,163,2,2,0.762,0.508,0.508,1,19,19,0.056139999999999975,0,0,0,1,2.5,1,2.5
164,167,4,4,0.762,0.762,0.762,1,33,33,0.08902999999999997,0,0,0,1,2.5,1,2.5
168,176,6,6,0.915,0.915,0.915,1,80,80,0.20566999999999996,0,0,0,1,2.5,1,2.5
177,181,4,4,0.762,0.762,0.762,1,46,46,0.12178999999999998,0,0,0,1,2.5,1,2.5
182,188,5,5,1.17,0.77,0.66,1,57,57,0.15941,0,0,0,1,2.5,1,2.5
189,190,1,1,0.457,0.457,0.457,1,11,11,0.033289999999999986,0,0,0,1,2.5,1,2.5
191,194,3,3,0.77,0.57,0.66,1,29,29,0.07982999999999996,0,0,0,1,2.5,1,2.5
195,202,6,6,0.915,0.915,0.915,1,71,71,0.18908999999999995,0,0,0,1,2.5,1,2.5
203,208,5,5,1.17,0.77,0.66,1,57,57,0.15676999999999996,0,0,0,1,2.5,1,2.5
209,216,6,6,0.915,0.915,0.915,1,66,66,0.17137999999999998,0,0,0,1,2.5,1,2.5
217,217,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
218,225,7,7,1.075,0.87,0.9,1,64,64,0.17375,0,0,0,1,2.5,1,2.5
226,226,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
227,229,1,1,0.457,0.457,0.457,1,10,10,0.03481,0,0,0,1,2.5,1,2.5
230,232,1,1,0.457,0.457,0.457,1,15,15,0.04665999999999999,0,0,0,1,2.5,1,2.5
233,242,5,5,1.17,0.77,0.66,1,73,73,0.21166999999999994,0,0,0,1,2.5,1,2.5
243,249,4,4,0.762,0.762,0.762,1,56,56,0.15564,0,0,0,1,2.5,1,2.5
250,256,5,5,1.17,0.77,0.66,1,60,60,0.15800999999999996,0,0,0,1,2.5,1,2.5
257,258,1,1,0.457,0.457,0.457,1,11,11,0.03328999999999999,0,0,0,1,2.5,1,2.5
259,262,3,3,0.77,0.57,0.66,1,27,27,0.07661999999999998,0,0,0,1,2.5,1,2.5
263,268,4,4,0.762,0.762,0.762,1,51,51,0.13640999999999998,0,0,0,1,2.5,1,2.5
269,276,6,6,0.915,0.915,0.915,1,74,74,0.18057999999999996,0,0,0,1,2.5,1,2.5
277,279,2,2,0.762,0.508,0.508,1,17,17,0.05167999999999999,0,0,0,1,2.5,1,2.5
280,280,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
281,290,6,6,0.915,0.915,0.915,1,86,86,0.23144999999999993,0,0,0,1,2.5,1,2.5
291,298,5,5,1.17,0.77,0.66,1,65,65,0.17891999999999997,0,0,0,1,2.5,1,2.5
299,302,4,4,0.762,0.762,0.762,1,34,34,0.09405,0,0,0,1,2.5,1,2.5
303,307,2,2,0.762,0.508,0.508,1,20,20,0.06684999999999999,0,0,0,1,2.5,1,2.5
308,315,4,4,0.762,0.762,0.762,1,57,57,0.1672,0,0,0,1,2.5,1,2.5
