frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,7,3,3,1.075,0.87,0.9,1,84,84,0.19940999999999998,0,0,0,1,2.5,1,2.5
8,18,3,3,1.075,0.87,0.9,1,89,89,0.24667,0,0,0,1,2.5,1,2.5
19,25,2,2,1.075,0.87,0.55,1,52,52,0.14142,0,0,0,1,2.5,1,2.5
26,35,3,3,1.075,0.87,0.9,1,85,85,0.21167,0,0,0,1,2.5,1,2.5
36,47,3,3,1.075,0.87,0.9,1,86,86,0.22296,0,0,0,1,2.5,1,2.5
48,50,1,1,0.762,0.508,0.508,1,30,30,0.08276999999999998,0,0,0,1,2.5,1,2.5
51,61,3,3,1.075,0.87,0.9,1,96,96,0.24832999999999997,0,0,0,1,2.5,1,2.5
62,67,2,2,1.075,0.87,0.55,1,55,55,0.15175,0,0,0,1,2.5,1,2.5
68,79,3,3,1.075,0.87,0.9,1,96,96,0.2675599999999999,0,0,0,1,2.5,1,2.5
80,87,3,3,1.075,0.87,0.9,1,71,71,0.17570999999999995,0,0,0,1,2.5,1,2.5
88,96,3,3,1.075,0.87,0.9,1,80,80,0.20665999999999995,0,0,0,1,2.5,1,2.5
97,101,2,2,1.075,0.87,0.55,1,46,46,0.12428999999999998,0,0,0,1,2.5,1,2.5
102,104,1,1,0.762,0.508,0.508,1,15,15,0.04693999999999999,0,0,0,1,2.5,1,2.5
105,112,3,3,1.075,0.87,0.9,1,76,76,0.19257999999999995,0,0,0,1,2.5,1,2.5
113,122,3,3,1.075,0.87,0.9,1,86,86,0.22714,0,0,0,1,2.5,1,2.5
123,128,2,2,1.075,0.87,0.55,1,59,59,0.16359999999999997,0,0,0,1,2.5,1,2.5
129,129,0,0,0.229,0.152,0.152,1,2,2,0.00835,0,0,0,1,2.5,1,2.5
130,135,2,2,1.075,0.87,0.55,1,44,44,0.12358999999999996,0,0,0,1,2.5,1,2.5
136,138,1,1,0.762,0.508,0.508,1,26,26,0.07329,0,0,0,1,2.5,1,2.5
139,139,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
140,141,1,1,0.762,0.508,0.508,1,15,15,0.042769999999999996,0,0,0,1,2.5,1,2.5
142,144,1,1,0.762,0.508,0.508,1,18,18,0.05376999999999999,0,0,0,1,2.5,1,2.5
145,145,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
146,147,1,1,0.762,0.508,0.508,1,21,21,0.056989999999999985,0,0,0,1,2.5,1,2.5
148,156,3,3,1.075,0.87,0.9,1,84,84,0.21891999999999995,0,0,0,1,2.5,1,2.5
157,162,2,2,1.075,0.87,0.55,1,45,45,0.12427999999999996,0,0,0,1,2.5,1,2.5
163,170,3,3,1.075,0.87,0.9,1,77,77,0.18880999999999998,0,0,0,1,2.5,1,2.5
171,180,3,3,1.075,0.87,0.9,1,83,83,0.22102,0,0,0,1,2.5,1,2.5
181,187,3,3,1.075,0.87,0.9,1,75,75,0.18519999999999998,0,0,0,1,2.5,1,2.5
188,192,2,2,1.075,0.87,0.55,1,42,42,0.10267999999999997,0,0,0,1,2.5,1,2.5
193,195,1,1,0.762,0.508,0.508,1,21,21,0.06087999999999998,0,0,0,1,2.5,1,2.5
196,209,3,3,1.075,0.87,0.9,1,101,101,0.27996999999999994,0,0,0,1,2.5,1,2.5
210,212,1,1,0.762,0.508,0.508,1,18,18,0.053769999999999984,0,0,0,1,2.5,1,2.5
213,218,2,2,1.075,0.87,0.55,1,51,51,0.13849999999999996,0,0,0,1,2.5,1,2.5
219,219,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
220,221,1,1,0.762,0.508,0.508,1,14,14,0.04067999999999999,0,0,0,1,2.5,1,2.5
222,232,3,3,1.075,0.87,0.9,1,93,93,0.26073999999999997,0,0,0,1,2.5,1,2.5
233,238,2,2,1.075,0.87,0.55,1,53,53,0.14407999999999996,0,0,0,1,2.5,1,2.5
239,241,1,1,0.762,0.508,0.508,1,22,22,0.06380999999999998,0,0,0,1,2.5,1,2.5
242,242,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,0,0,0,1,2.5,1,2.5
243,245,1,1,0.762,0.508,0.508,1,18,18,0.05348999999999998,0,0,0,1,2.5,1,2.5
246,246,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
247,247,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,0,0,0,1,2.5,1,2.5
248,253,2,2,1.075,0.87,0.55,1,60,60,0.16206999999999994,0,0,0,1,2.5,1,2.5
254,256,1,1,0.762,0.508,0.508,1,17,17,0.05139999999999999,0,0,0,1,2.5,1,2.5
257,266,3,3,1.075,0.87,0.9,1,80,80,0.22002999999999998,0,0,0,1,2.5,1,2.5
267,267,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
268,270,1,1,0.762,0.508,0.508,1,17,17,0.05168,0,0,0,1,2.5,1,2.5
271,273,1,1,0.762,0.508,0.508,1,17,17,0.05112,0,0,0,1,2.5,1,2.5
274,276,1,1,0.762,0.508,0.508,1,19,19,0.05613999999999998,0,0,0,1,2.5,1,2.5
277,283,3,3,1.075,0.87,0.9,1,72,72,0.17808999999999994,0,0,0,1,2.5,1,2.5
284,284,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
285,288,1,1,0.762,0.508,0.508,1,25,25,0.07396999999999998,0,0,0,1,2.5,1,2.5
289,296,2,2,1.075,0.87,0.55,1,65,65,0.17851,0,0,0,1,2.5,1,2.5
297,307,3,3,1.075,0.87,0.9,1,90,90,0.23982,0,0,0,1,2.5,1,2.5
308,308,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
309,309,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
310,311,0,0,0.229,0.152,0.152,1,2,2,0.011960000000000002,0,0,0,1,2.5,1,2.5
312,316,1,1,0.762,0.508,0.508,1,24,24,0.07548999999999999,0,0,0,1,2.5,1,2.5
317,325,3,3,1.075,0.87,0.9,1,77,77,0.20331999999999995,0,0,0,1,2.5,1,2.5
326,333,3,3,1.075,0.87,0.9,1,70,70,0.17654999999999998,0,0,0,1,2.5,1,2.5
334,340,2,2,1.075,0.87,0.55,1,59,59,0.16539999999999996,0,0,0,1,2.5,1,2.5
341,351,3,3,1.075,0.87,0.9,1,90,90,0.24330999999999994,0,0,0,1,2.5,1,2.5
352,354,1,1,0.762,0.508,0.508,1,14,14,0.044569999999999985,0,0,0,1,2.5,1,2.5
355,355,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,0,0,0,1,2.5,1,2.5
356,367,3,3,1.075,0.87,0.9,1,95,95,0.26297000000000004,0,0,0,1,2.5,1,2.5
368,372,2,2,1.075,0.87,0.55,1,42,42,0.10058999999999998,0,0,0,1,2.5,1,2.5
373,375,1,1,0.762,0.508,0.508,1,23,23,0.06617999999999997,0,0,0,1,2.5,1,2.5
376,376,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
377,382,2,2,1.075,0.87,0.55,1,49,49,0.13934,0,0,0,1,2.5,1,2.5
383,385,1,1,0.762,0.508,0.508,1,26,26,0.07300999999999999,0,0,0,1,2.5,1,2.5
386,388,1,1,0.762,0.508,0.508,1,19,19,0.05613999999999998,0,0,0,1,2.5,1,2.5
389,394,2,2,1.075,0.87,0.55,1,52,52,0.14756999999999995,0,0,0,1,2.5,1,2.5
395,403,3,3,1.075,0.87,0.9,1,82,82,0.22699999999999998,0,0,0,1,2.5,1,2.5
404,404,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
405,405,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
406,417,3,3,1.075,0.87,0.9,1,89,89,0.22852,0,0,0,1,2.5,1,2.5
418,420,1,1,0.762,0.508,0.508,1,7,7,0.027699999999999995,0,0,0,1,2.5,1,2.5
421,421,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,0,0,0,1,2.5,1,2.5
422,427,2,2,1.075,0.87,0.55,1,58,58,0.15090999999999996,0,0,0,1,2.5,1,2.5
428,428,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
429,429,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
430,430,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
431,431,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
432,432,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
433,440,2,2,1.075,0.87,0.55,1,63,63,0.17779999999999996,0,0,0,1,2.5,1,2.5
441,446,2,2,1.075,0.87,0.55,1,51,51,0.13516,0,0,0,1,2.5,1,2.5
447,449,1,1,0.762,0.508,0.508,1,21,21,0.06115999999999998,0,0,0,1,2.5,1,2.5
450,453,1,1,0.762,0.508,0.508,1,27,27,0.07926999999999998,0,0,0,1,2.5,1,2.5
454,461,3,3,1.075,0.87,0.9,1,77,77,0.19313999999999998,0,0,0,1,2.5,1,2.5
462,465,1,1,0.762,0.508,0.508,1,22,22,0.06742,0,0,0,1,2.5,1,2.5
466,468,1,1,0.762,0.508,0.508,1,19,19,0.05641999999999999,0,0,0,1,2.5,1,2.5
469,469,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
470,470,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
471,471,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,0,0,0,1,2.5,1,2.5
472,477,2,2,1.075,0.87,0.55,1,53,53,0.13962,0,0,0,1,2.5,1,2.5
478,480,1,1,0.762,0.508,0.508,1,22,22,0.06352999999999998,0,0,0,1,2.5,1,2.5
481,481,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
482,490,3,3,1.075,0.87,0.9,1,73,73,0.20120999999999997,0,0,0,1,2.5,1,2.5
491,496,2,2,1.075,0.87,0.55,1,51,51,0.13905999999999996,0,0,0,1,2.5,1,2.5
497,506,3,3,1.075,0.87,0.9,1,82,82,0.19813999999999996,0,0,0,1,2.5,1,2.5
507,508,1,1,0.762,0.508,0.508,1,13,13,0.03831,0,0,0,1,2.5,1,2.5
509,513,2,2,1.075,0.87,0.55,1,45,45,0.12247999999999998,0,0,0,1,2.5,1,2.5
514,525,3,3,1.075,0.87,0.9,1,95,95,0.25362,0,0,0,1,2.5,1,2.5
526,532,2,2,1.075,0.87,0.55,1,55,55,0.15522999999999998,0,0,0,1,2.5,1,2.5
533,540,2,2,1.075,0.87,0.55,1,58,58,0.16791,0,0,0,1,2.5,1,2.5
541,543,1,1,0.762,0.508,0.508,1,22,22,0.06324999999999999,0,0,0,1,2.5,1,2.5
544,551,3,3,1.075,0.87,0.9,1,73,73,0.17808,0,0,0,1,2.5,1,2.5
552,561,3,3,1.075,0.87,0.9,1,82,82,0.23480999999999996,0,0,0,1,2.5,1,2.5
562,574,3,3,1.075,0.87,0.9,1,101,101,0.29251999999999995,0,0,0,1,2.5,1,2.5
575,577,1,1,0.762,0.508,0.508,1,14,14,0.044569999999999985,0,0,0,1,2.5,1,2.5
578,578,0,0,0.229,0.152,0.152,1,2,2,0.00835,0,0,0,1,2.5,1,2.5
579,587,3,3,1.075,0.87,0.9,1,85,85,0.21919999999999998,0,0,0,1,2.5,1,2.5
588,591,1,1,0.762,0.508,0.508,1,23,23,0.06922999999999997,0,0,0,1,2.5,1,2.5
592,599,2,2,1.075,0.87,0.55,1,63,63,0.17683,0,0,0,1,2.5,1,2.5
600,600,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
601,608,3,3,1.075,0.87,0.9,1,71,71,0.18839999999999998,0,0,0,1,2.5,1,2.5
609,620,3,3,1.075,0.87,0.9,1,88,88,0.23521999999999996,0,0,0,1,2.5,1,2.5
621,621,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
622,624,1,1,0.762,0.508,0.508,1,15,15,0.04429,0,0,0,1,2.5,1,2.5
625,634,3,3,1.075,0.87,0.9,1,77,77,0.20804999999999998,0,0,0,1,2.5,1,2.5
635,637,1,1,0.762,0.508,0.508,1,24,24,0.06798999999999997,0,0,0,1,2.5,1,2.5
638,646,3,3,1.075,0.87,0.9,1,71,71,0.19104,0,0,0,1,2.5,1,2.5
647,656,3,3,1.075,0.87,0.9,1,91,91,0.22922999999999996,0,0,0,1,2.5,1,2.5
657,657,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
658,658,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
659,667,3,3,1.075,0.87,0.9,1,75,75,0.20204999999999998,0,0,0,1,2.5,1,2.5
668,668,0,0,0.229,0.152,0.152,1,2,2,0.008350000000000002,0,0,0,1,2.5,1,2.5
669,672,1,1,0.762,0.508,0.508,1,34,34,0.09753999999999999,0,0,0,1,2.5,1,2.5
673,673,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
674,679,2,2,1.075,0.87,0.55,1,50,50,0.13696999999999998,0,0,0,1,2.5,1,2.5
680,691,3,3,1.075,0.87,0.9,1,95,95,0.2606,0,0,0,1,2.5,1,2.5
692,699,3,3,1.075,0.87,0.9,1,74,74,0.18337999999999996,0,0,0,1,2.5,1,2.5
700,711,3,3,1.075,0.87,0.9,1,91,91,0.24288999999999994,0,0,0,1,2.5,1,2.5
712,716,2,2,1.075,0.87,0.55,1,48,48,0.13098999999999997,0,0,0,1,2.5,1,2.5
717,717,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
718,723,2,2,1.075,0.87,0.55,1,60,60,0.15885999999999997,0,0,0,1,2.5,1,2.5
724,725,1,1,0.762,0.508,0.508,1,18,18,0.049879999999999994,0,0,0,1,2.5,1,2.5
726,735,3,3,1.075,0.87,0.9,1,77,77,0.19648000000000002,0,0,0,1,2.5,1,2.5
736,742,2,2,1.075,0.87,0.55,1,56,56,0.15563999999999997,0,0,0,1,2.5,1,2.5
743,751,3,3,1.075,0.87,0.9,1,77,77,0.21264999999999998,0,0,0,1,2.5,1,2.5
752,763,3,3,1.075,0.87,0.9,1,98,98,0.25808,0,0,0,1,2.5,1,2.5
764,771,3,3,1.075,0.87,0.9,1,77,77,0.20205999999999996,0,0,0,1,2.5,1,2.5
772,772,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
773,777,2,2,1.075,0.87,0.55,1,47,47,0.12540999999999997,0,0,0,1,2.5,1,2.5
778,786,3,3,1.075,0.87,0.9,1,81,81,0.19577999999999998,0,0,0,1,2.5,1,2.5
787,792,2,2,1.075,0.87,0.55,1,46,46,0.12664999999999998,0,0,0,1,2.5,1,2.5
793,793,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
794,794,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,0,0,0,1,2.5,1,2.5
795,795,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
796,798,1,1,0.762,0.508,0.508,1,26,26,0.07357,0,0,0,1,2.5,1,2.5
799,800,1,1,0.762,0.508,0.508,1,16,16,0.045139999999999986,0,0,0,1,2.5,1,2.5
801,805,2,2,1.075,0.87,0.55,1,48,48,0.13279999999999995,0,0,0,1,2.5,1,2.5
806,806,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
807,808,1,1,0.762,0.508,0.508,1,21,21,0.05726999999999998,0,0,0,1,2.5,1,2.5
809,812,1,1,0.762,0.508,0.508,1,20,20,0.06267999999999999,0,0,0,1,2.5,1,2.5
813,817,1,1,0.762,0.508,0.508,1,30,30,0.09082999999999998,0,0,0,1,2.5,1,2.5
818,825,3,3,1.075,0.87,0.9,1,79,79,0.19579,0,0,0,1,2.5,1,2.5
826,836,3,3,1.075,0.87,0.9,1,90,90,0.22057999999999997,0,0,0,1,2.5,1,2.5
837,846,3,3,1.075,0.87,0.9,1,89,89,0.23258999999999996,0,0,0,1,2.5,1,2.5
847,853,3,3,1.075,0.87,0.9,1,71,71,0.16121999999999997,0,0,0,1,2.5,1,2.5
854,856,1,1,0.762,0.508,0.508,1,24,24,0.06798999999999998,0,0,0,1,2.5,1,2.5
857,858,1,1,0.762,0.508,0.508,1,13,13,0.038310000000000004,0,0,0,1,2.5,1,2.5
859,866,3,3,1.075,0.87,0.9,1,72,72,0.18658999999999998,0,0,0,1,2.5,1,2.5
867,869,1,1,0.762,0.508,0.508,1,15,15,0.04665999999999999,0,0,0,1,2.5,1,2.5
870,870,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
871,871,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
872,879,2,2,1.075,0.87,0.55,1,59,59,0.17193999999999995,0,0,0,1,2.5,1,2.5
880,885,2,2,1.075,0.87,0.55,1,56,56,0.15732999999999997,0,0,0,1,2.5,1,2.5
886,888,1,1,0.762,0.508,0.508,1,22,22,0.06324999999999997,0,0,0,1,2.5,1,2.5
889,895,2,2,1.075,0.87,0.55,1,57,57,0.16206,0,0,0,1,2.5,1,2.5
896,902,2,2,1.075,0.87,0.55,1,62,62,0.15145999999999998,0,0,0,1,2.5,1,2.5
903,906,1,1,0.762,0.508,0.508,1,30,30,0.0875,0,0,0,1,2.5,1,2.5
907,915,3,3,1.075,0.87,0.9,1,77,77,0.19131999999999996,0,0,0,1,2.5,1,2.5
916,926,3,3,1.075,0.87,0.9,1,90,90,0.24888999999999994,0,0,0,1,2.5,1,2.5
927,927,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0,0,0,1,2.5,1,2.5
