frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,12,6,6,0.915,0.915,0.915,1,91,91,0.21885999999999997,0.08874116091882359,0.201452873871243,0.11457627187733868,1,2.5,1,2.5
13,19,6,6,0.915,0.915,0.915,1,67,67,0.1891,0.0020839281654342202,0.024876281117442514,-0.20061297833369218,0,2.5,1,2.5
20,20,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.032434457776822745,-0.060993432811990766,-0.14716246550100634,1,2.5,1,2.5
21,21,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,0.044138058645583296,-0.038391219014586246,-0.16207494544610926,0,2.5,1,2.5
22,24,3,3,0.77,0.57,0.66,1,19,19,0.04665999999999999,0.15621760593441233,0.11646124009424909,0.17887789884655592,1,2.5,1,2.5
25,26,1,1,0.457,0.457,0.457,1,8,8,0.026180000000000002,-0.0576236625161913,0.007533451230959777,-0.29078107596942887,1,2.5,1,2.5
27,31,3,3,0.77,0.57,0.66,1,33,33,0.09793999999999997,0.03444639344303157,-0.17344191585959964,0.12424888934568748,0,2.5,1,2.5
32,33,1,1,0.457,0.457,0.457,1,6,6,0.02144,-0.08587917308685124,-0.03894541257977288,9.147281661009824E-4,0,2.5,1,2.5
34,41,7,7,1.075,0.87,0.9,1,75,75,0.21250999999999998,0.12280916169620336,-0.05239323827250663,0.128868468827886,0,2.5,1,2.5
42,50,6,6,0.915,0.915,0.915,1,80,80,0.18823999999999996,0.10066438116033169,0.07842608489508691,-0.08336032602356694,1,2.5,1,2.5
51,62,7,7,1.075,0.87,0.9,1,99,99,0.27662999999999993,-0.0726286644952372,0.012493630100654124,-0.48057898015008416,1,2.5,1,2.5
63,64,1,1,0.457,0.457,0.457,1,12,12,0.03566,0.09853802886335503,-0.004340875202699139,-0.6973837868596164,0,2.5,1,2.5
65,68,3,3,0.77,0.57,0.66,1,32,32,0.09083999999999998,-0.0079319071486957,0.02563561150309912,-0.6630549222615357,0,2.5,1,2.5
