frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,0,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.0045736495762360874,-0.004334051769513767,0.27333441250791135,0,2.5,1,2.5
1,5,2,2,1.075,0.87,0.55,1,48,48,0.10323999999999997,0.10032024813678769,0.08669980237263034,0.3282233374798472,1,2.5,1,2.5
6,8,1,1,0.762,0.508,0.508,1,20,20,0.05822999999999999,-0.031346043160487176,-0.0891206114511697,0.14169046330022916,0,2.5,1,2.5
9,9,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.01332752140696498,-0.014883284916337457,0.313992346383352,1,2.5,1,2.5
10,17,3,3,1.075,0.87,0.9,1,84,84,0.22937999999999995,-0.11291069741554305,-0.06356545086889807,-0.23847366073738085,0,2.5,1,2.5
18,28,3,3,1.075,0.87,0.9,1,95,95,0.256,-0.12268533071743136,-0.1254025449494852,0.334754723985714,1,2.5,1,2.5
29,29,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.021317149338758612,-0.003880408108547438,-0.18793621219459938,0,2.5,1,2.5
30,32,1,1,0.762,0.508,0.508,1,21,21,0.058509999999999986,0.11321715943927481,0.08896324651141133,-0.19684596690649772,1,2.5,1,2.5
33,35,1,1,0.762,0.508,0.508,1,26,26,0.07244999999999999,-0.03528585782623309,-0.04082212420343689,-0.041343547474257315,0,2.5,1,2.5
36,36,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000002,-0.021631827914674235,0.0034123528741915976,0.21281643072222164,0,2.5,1,2.5
37,42,2,2,1.075,0.87,0.55,1,60,60,0.16456999999999997,-0.08264228117694444,0.050155655307877606,0.41406498031508077,0,2.5,1,2.5
43,45,1,1,0.762,0.508,0.508,1,16,16,0.04874999999999999,0.02736879614152753,0.13930774302991916,0.13354563906309908,1,2.5,1,2.5
46,59,3,3,1.075,0.87,0.9,1,104,104,0.29390999999999995,-0.06916030200609974,0.09312855120010656,-0.0890855438416783,1,2.5,1,2.5
60,60,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.015657250810880072,0.0016914558501157626,-0.6198666055710508,0,2.5,1,2.5
61,61,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.008729420928043557,-0.03740018179349827,-0.44193088293898486,0,2.5,1,2.5
62,66,2,2,1.075,0.87,0.55,1,46,46,0.12902999999999995,0.08467369054082864,0.08002458999490196,-0.010214064343580005,0,2.5,1,2.5
67,73,2,2,1.075,0.87,0.55,1,64,64,0.18157999999999996,-0.06742955606734201,-0.07619857973009804,0.021985302124596658,0,2.5,1,2.5
74,76,1,1,0.762,0.508,0.508,1,17,17,0.05111999999999997,0.030872617937576625,0.05891174062711167,0.17970513295773355,0,2.5,1,2.5
77,77,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.028357238633148235,-0.01499539652556948,0.05396567637722035,1,2.5,1,2.5
78,80,1,1,0.762,0.508,0.508,1,20,20,0.059069999999999984,-0.16932380186585952,0.08462226479106832,-0.8773907155264984,1,2.5,1,2.5
81,86,2,2,1.075,0.87,0.55,1,47,47,0.13110999999999998,-0.08378727544705893,-0.052519125699978915,-0.20416901900289086,0,2.5,1,2.5
87,89,1,1,0.762,0.508,0.508,1,21,21,0.060599999999999994,0.0725153063605452,-0.05438737270204596,0.12493324747639245,0,2.5,1,2.5
