frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,4,2,2,1.075,0.87,0.55,1,48,48,0.12902999999999998,0.023553596576178764,-0.04726739036425413,-0.04697080311365087,1,2,1,2
5,9,2,2,1.075,0.87,0.55,1,51,51,0.13321,-0.13846862667312748,0.06032761682213401,0.5634188956026769,1,2,1,2
10,22,2,2,1.075,0.87,0.55,0,47,46,0.12068,0.21854192365623867,0.12389211541547532,0.19918948733120972,1,2,1,2
23,28,2,2,1.075,0.87,0.55,1,41,41,0.11074999999999997,-0.1897571260718151,-0.0772923372195508,-0.19040449498694373,1,2,1,2
29,29,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.011128172884611183,0.0019488073642914053,0.23918068519344587,0,2,1,2
30,30,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.01883937681316677,0.012805895234195787,0.2592878567092356,0,2,1,2
31,31,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.003765247091741017,-0.005080473239137967,-0.45061864113752825,0,2,1,2
32,32,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.016769378941094013,-0.011658755950072538,0.03715254610800487,0,2,1,2
33,38,2,2,1.075,0.87,0.55,1,48,48,0.11507999999999999,0.011842044383206938,0.033371383748602546,0.36672101847689087,1,2,1,2
39,45,3,3,1.075,0.87,0.9,1,66,66,0.18379999999999996,-0.11201628741608809,-0.1518352909285657,-0.3325842176780752,0,2,1,2
46,50,2,2,1.075,0.87,0.55,1,48,48,0.11396999999999997,-0.03138631768250583,-0.13098541453459986,-0.03619469806112825,1,2,1,2
51,53,1,1,0.762,0.508,0.508,1,16,16,0.04163999999999999,0.09495188930891928,-0.11700106215909303,0.15052331617438186,1,2,1,2
54,54,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.003423062013676275,-0.015126999881325997,0.24541099242139114,0,2,1,2
55,65,3,3,1.075,0.87,0.9,1,91,91,0.26769999999999994,0.1551027800820733,-0.01610953805937086,0.47442468284718703,0,2,1,2
66,71,2,2,1.075,0.87,0.55,1,47,47,0.13529,0.09777703165699428,0.004858731434550997,0.5158844452230271,0,2,1,2
72,77,2,2,1.075,0.87,0.55,1,55,55,0.14504999999999998,-0.047630269133523306,-0.038171957330486034,-0.74038851983521,1,2,1,2
78,93,3,3,1.075,0.87,0.9,0,90,76,0.21907,0.013247366077847402,0.033899888889867544,0.04852042646438408,1,2,1,2
94,102,3,3,1.075,0.87,0.9,1,90,90,0.2533499999999999,0.19466261956629605,0.07946520478201596,0.10207230525790525,0,2,1,2
103,105,1,1,0.762,0.508,0.508,1,15,15,0.046379999999999984,-0.13544876565875616,-0.0967702765428049,-0.5072774541102644,0,2,1,2
106,108,1,1,0.762,0.508,0.508,1,24,24,0.06798999999999998,0.0774095638043301,-0.08633669783621123,-0.04102948543462227,0,2,1,2
109,116,3,3,1.075,0.87,0.9,1,74,74,0.21041999999999997,-0.032069165170787006,0.027864118284075666,-0.20865649470751052,0,2,1,2
117,118,1,1,0.762,0.508,0.508,1,17,17,0.047789999999999985,0.030498139539799938,0.029593318640154034,0.07657373786514826,0,2,1,2
119,119,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.024329350159617583,-0.011846655835438275,-0.21837305150294575,1,2,1,2
120,123,1,1,0.762,0.508,0.508,1,21,21,0.06477,0.08073410017536424,-0.05440695810932865,0.4802662813988108,0,2,1,2
124,137,3,3,1.075,0.87,0.9,0,77,63,0.16835,0.038872262732810935,0.12468711627476954,-0.6390245705575472,1,2,1,2
138,141,1,1,0.762,0.508,0.508,1,26,26,0.06239999999999998,0.09630107233094463,0.05146221889554283,-0.06982715917819365,1,2,1,2
142,144,1,1,0.762,0.508,0.508,1,25,25,0.06352999999999999,0.007279080876923558,0.039484400292825274,0.5233087062076931,1,2,1,2
