frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,3,2,2,0.762,0.508,0.508,1,27,27,0.07898999999999999,0.0895157216352972,-0.028872359313384915,0.21875949870804884,0,2.25,1,2.25
4,14,7,7,1.075,0.87,0.9,1,89,89,0.26212,0.11796325987159412,0.05821853480478529,0.3063178235598309,0,2.25,1,2.25
15,17,2,2,0.762,0.508,0.508,1,19,19,0.05585999999999999,-0.10257315251139663,-0.05350005161435534,0.11858663234807393,0,2.25,1,2.25
18,22,4,4,0.762,0.762,0.762,1,46,46,0.12846999999999995,0.10929890273757908,-0.07950756819434264,-0.44199797429736476,0,2.25,1,2.25
23,27,4,4,0.762,0.762,0.762,1,55,55,0.14087999999999998,-0.11877469621472062,0.08373430426090289,-0.01466613579891557,1,2.25,1,2.25
28,30,3,3,0.77,0.57,0.66,1,27,27,0.07272999999999999,-0.051877730804700886,-0.06645698600212632,-0.1733790707744499,1,2.25,1,2.25
31,32,2,2,0.762,0.508,0.508,1,15,15,0.042769999999999996,-0.036247912450041116,0.015815477781481017,0.13899329015977865,0,2.25,1,2.25
33,52,6,6,0.915,0.915,0.915,0,73,72,0.19447000000000003,0.16396291804541657,-0.015462894813341638,0.13856277370731843,1,2.25,1,2.25
53,56,3,3,0.77,0.57,0.66,1,33,33,0.09292999999999998,0.16455691126844038,-0.005570123469371855,-0.0738615287856284,0,2.25,1,2.25
57,57,1,1,0.457,0.457,0.457,1,7,7,0.020199999999999992,0.023282163704148255,0.00916772169096355,0.08365946361397021,1,2.25,1,2.25
58,64,7,7,1.075,0.87,0.9,1,66,66,0.18616999999999995,-0.00878951224875445,-0.0516027841391899,-0.23406572151214633,0,2.25,1,2.25
65,67,2,2,0.762,0.508,0.508,1,21,21,0.05822999999999999,0.05013616981613043,0.13353910677330053,-0.12378116521312536,1,2.25,1,2.25
68,74,4,4,0.762,0.762,0.762,1,65,65,0.18351999999999993,-0.09393090608657685,-0.016846147596081145,-0.44296616888118684,0,2.25,1,2.25
75,77,2,2,0.762,0.508,0.508,1,19,19,0.05585999999999998,-0.03230751813783392,0.012868644739129995,0.19722800168568475,1,2.25,1,2.25
78,80,3,3,0.77,0.57,0.66,1,31,31,0.07774999999999997,0.029635077521437868,0.015644708953167726,-0.0031052015213648147,1,2.25,1,2.25
81,87,5,5,1.17,0.77,0.66,1,64,64,0.17989999999999995,-0.17267347464249935,-0.04614926445503783,-0.13826018867511872,1,2.25,1,2.25
88,88,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.02328817234795695,-0.01279254050238534,-0.056627339356438613,0,2.25,1,2.25
89,89,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.018550670794736362,0.029589660991260903,-0.23541837179447145,0,2.25,1,2.25
90,108,6,6,0.915,0.915,0.915,0,100,99,0.25336000000000003,0.04728699450329227,-0.06142960550047228,0.38691325995792636,1,2.25,1,2.25
109,111,2,2,0.762,0.508,0.508,1,21,21,0.06059999999999999,0.018409560157114417,0.02210098172181737,0.0828639400781517,0,2.25,1,2.25
112,115,4,4,0.762,0.762,0.762,1,29,29,0.08344999999999998,-0.10084703501175468,-0.034951182088191306,0.19038321077221726,0,2.25,1,2.25
116,123,6,6,0.915,0.915,0.915,1,80,80,0.22659999999999997,-0.0376855308515308,-0.11135587456848299,-0.10686523801697079,0,2.25,1,2.25
124,124,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.005390486457208562,0.012748207843538382,0.06218112025645165,0,2.25,1,2.25
125,136,7,7,1.075,0.87,0.9,1,84,84,0.21983999999999998,-0.007905629552860649,0.0884630774364439,0.21635393238224518,1,2.25,1,2.25
137,147,6,6,0.915,0.915,0.915,1,85,85,0.21107999999999996,0.056624045800911196,0.03944073891514978,-0.19693784516565158,1,2.25,1,2.25
148,148,1,1,0.457,0.457,0.457,1,3,3,0.01072,0.03781190183368669,0.05280909753646331,-0.12564220082189542,0,2.25,1,2.25
149,157,6,6,0.915,0.915,0.915,1,81,81,0.23201999999999998,0.02362484315894901,0.0023259523568023165,-0.06586102972448613,0,2.25,1,2.25
158,159,1,1,0.457,0.457,0.457,1,15,15,0.04305,0.016734699216388517,0.059128160203590165,-0.16980531879490982,0,2.25,1,2.25
160,163,3,3,0.77,0.57,0.66,1,26,26,0.07605999999999997,-0.11469196891209203,-0.12715741006463194,-0.5864788645034361,1,2.25,1,2.25
164,168,4,4,0.762,0.762,0.762,1,47,47,0.12400999999999997,0.04140031866920029,0.13912543813796172,-0.49654764455986244,1,2.25,1,2.25
169,176,6,6,0.915,0.915,0.915,1,77,77,0.21752999999999995,0.038016747554777186,-0.04892489907034967,-0.6817946468556865,0,2.25,1,2.25
177,177,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-5.302475269608083E-4,0.014653724987972471,-0.48117022262278625,0,2.25,1,2.25
178,187,6,6,0.915,0.915,0.915,1,97,97,0.2757899999999999,0.060428194137098504,0.1324956345520479,0.17233702004850185,0,2.25,1,2.25
188,189,2,2,0.762,0.508,0.508,1,14,14,0.04039999999999999,-0.04153486947240238,-0.033173985088307455,-0.332867016547159,0,2.25,1,2.25
190,192,3,3,0.77,0.57,0.66,1,24,24,0.06799,-0.05146433877081639,-0.030458701063997454,0.22933479539401014,0,2.25,1,2.25
193,196,3,3,0.77,0.57,0.66,1,29,29,0.07926999999999998,0.015668698266244247,0.09806453448842195,-0.20736406910835523,1,2.25,1,2.25
197,201,5,5,1.17,0.77,0.66,1,43,43,0.12107999999999995,-0.06890174219927504,0.02806085951836533,-0.32960997618797594,0,2.25,1,2.25
202,214,7,7,1.075,0.87,0.9,1,88,88,0.23782,-0.027237427846943444,-0.023052722993582766,-0.05618117271400795,1,2.25,1,2.25
215,217,2,2,0.762,0.508,0.508,1,23,23,0.0659,-0.18494075847655156,-0.05386442273262721,0.10879910087597648,1,2.25,1,2.25
218,225,5,5,1.17,0.77,0.66,1,66,66,0.18630999999999998,-0.04593954515788036,0.10895436424360554,0.49092030492446154,1,2.25,1,2.25
226,232,5,5,1.17,0.77,0.66,1,62,62,0.17556999999999992,-0.05748379268858018,0.12834802654966948,0.033696688765603174,0,2.25,1,2.25
233,239,7,7,1.075,0.87,0.9,1,63,63,0.17933999999999994,0.09102362129389482,-0.017467811868468634,0.40047775131149865,0,2.25,1,2.25
240,240,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.01938213086166122,-0.06465888584007766,-0.09741107857119415,0,2.25,1,2.25
241,249,7,7,1.075,0.87,0.9,1,85,85,0.24289999999999992,0.07306466651487521,-0.048731015576566915,0.45129267579759746,0,2.25,1,2.25
250,257,7,7,1.075,0.87,0.9,1,84,84,0.23467999999999994,-0.021845826963316717,-0.03306105913142974,-0.007895753757082676,0,2.25,1,2.25
258,261,4,4,0.762,0.762,0.762,1,46,46,0.10882999999999998,0.10296557402406473,-0.008834161542539536,0.3734268249652852,1,2.25,1,2.25
262,270,7,7,1.075,0.87,0.9,1,73,73,0.18250999999999998,0.05226372606265521,-0.026029746900247477,-0.14943101916294574,1,2.25,1,2.25
271,276,4,4,0.762,0.762,0.762,1,52,52,0.13821999999999995,0.06174088871221108,-0.18192269059175906,-0.1368328441944314,1,2.25,1,2.25
277,279,1,1,0.457,0.457,0.457,1,15,15,0.04637999999999999,0.029871415628089794,-0.01158131564722914,-0.3211239780084552,1,2.25,1,2.25
280,284,5,5,1.17,0.77,0.66,1,56,56,0.13585999999999995,-0.0970409390469635,-0.1057731257874583,0.2991581731017647,1,2.25,1,2.25
285,291,7,7,1.075,0.87,0.9,1,68,68,0.19034999999999996,0.06230740977766909,-0.09640592586740175,0.052631444983903354,0,2.25,1,2.25
292,292,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.02827172511066935,0.022330203700708623,0.08589383410974383,0,2.25,1,2.25
293,298,5,5,1.17,0.77,0.66,1,49,49,0.14003,-0.029069778058504324,0.13138664026106073,-0.029243520577457497,0,2.25,1,2.25
299,308,7,7,1.075,0.87,0.9,1,88,88,0.21625999999999998,0.08850638594213597,0.023418054665994916,-0.2013100237710749,1,2.25,1,2.25
309,311,3,3,0.77,0.57,0.66,1,21,21,0.058229999999999976,0.01943468186137801,-0.03531964638534086,-0.10831577280535673,1,2.25,1,2.25
312,316,3,3,0.77,0.57,0.66,1,36,36,0.10058999999999998,-0.03538869829824457,-0.00589629833154503,-0.1851458568379842,1,2.25,1,2.25
317,331,7,7,1.075,0.87,0.9,0,82,81,0.20641,0.09003879371328775,0.10292388872350877,0.25973786418885314,1,2.25,1,2.25
332,333,1,1,0.457,0.457,0.457,1,6,6,0.02144,0.06580748691094024,-0.08812749189636397,-0.05400277371330137,0,2.25,1,2.25
334,338,4,4,0.762,0.762,0.762,1,47,47,0.13112,-0.039490035232578845,0.0872461627278831,0.23137215081604395,0,2.25,1,2.25
339,342,2,2,0.762,0.508,0.508,1,22,22,0.06713999999999999,0.035380894526266304,0.07907672592535177,0.25828739858782346,0,2.25,1,2.25
343,350,6,6,0.915,0.915,0.915,1,72,72,0.20455999999999996,-0.05428022381049554,0.13252350581634623,0.023417166516918737,0,2.25,1,2.25
351,354,4,4,0.762,0.762,0.762,1,39,39,0.10742999999999997,-0.04638203578200579,0.10179088511951336,0.282847054256036,0,2.25,1,2.25
355,358,4,4,0.762,0.762,0.762,1,41,41,0.11272999999999997,0.022227320124036106,0.02056007589396523,0.44446300874906197,0,2.25,1,2.25
359,363,4,4,0.762,0.762,0.762,1,44,44,0.11187999999999997,0.055983086442539624,0.1334444111095935,0.16402900971115286,1,2.25,1,2.25
364,367,2,2,0.762,0.508,0.508,1,25,25,0.07215999999999999,-0.033087010458898385,0.017171334125542063,0.26278895260875174,1,2.25,1,2.25
368,371,3,3,0.77,0.57,0.66,1,25,25,0.07368999999999998,0.021093481554454646,-0.11790767861044883,0.301853660684709,0,2.25,1,2.25
372,391,7,7,1.075,0.87,0.9,0,93,92,0.21638,0.28537387391682195,-0.07897003504429204,0.1546501820238226,1,2.25,1,2.25
392,397,4,4,0.762,0.762,0.762,1,50,50,0.14211999999999997,-0.010223371892622086,-0.18451125936943716,0.19561552865860035,0,2.25,1,2.25
398,402,4,4,0.762,0.762,0.762,1,48,48,0.10560999999999997,0.1584697458702888,0.11749951685772274,-0.24067037360315013,1,2.25,1,2.25
403,412,7,7,1.075,0.87,0.9,1,86,86,0.2514,0.025617828795278925,0.13879823162211904,-0.04089174821325209,0,2.25,1,2.25
413,413,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.041524891934175065,-0.012295944781292634,0.17598075280886827,1,2.25,1,2.25
414,417,2,2,0.762,0.508,0.508,1,23,23,0.06950999999999999,-0.06180260867867023,-0.022351886665775995,0.28416838081088874,0,2.25,1,2.25
418,419,1,1,0.457,0.457,0.457,1,8,8,0.02618,-0.03402356981201191,0.04054184456903209,-0.12853437888125263,1,2.25,1,2.25
420,423,3,3,0.77,0.57,0.66,1,26,26,0.07689999999999998,-0.05221745213444683,-0.09363923208109169,-0.04920408182437916,0,2.25,1,2.25
424,424,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.0294251428066818,-0.005998540051327642,-0.10634547041578504,0,2.25,1,2.25
425,426,2,2,0.762,0.508,0.508,1,18,18,0.04987999999999999,0.011416885490751075,0.07434860751346029,0.12140996674711792,1,2.25,1,2.25
427,440,6,6,0.915,0.915,0.915,0,75,72,0.17532999999999999,0.1517148561963221,0.1537934182924093,-0.17949642934926976,1,2.25,1,2.25
441,444,2,2,0.762,0.508,0.508,1,30,30,0.08553999999999999,-0.038649497180554174,0.11148930369454448,0.05121294165261147,0,2.25,1,2.25
445,445,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.0017706887078074354,-0.0014606047401862468,-0.05316036576198673,0,2.25,1,2.25
446,461,6,6,0.915,0.915,0.915,0,63,62,0.17822,0.02278214636554293,-0.02392512675031444,0.07443915182507363,1,2.25,1,2.25
462,466,5,5,1.17,0.77,0.66,1,54,54,0.14714999999999998,2.658910757588574E-4,0.10054816159912548,-0.2674189785916886,0,2.25,1,2.25
467,469,3,3,0.77,0.57,0.66,1,23,23,0.06561999999999998,-0.03910965705781351,0.06461844934341938,0.5056153618421055,0,2.25,1,2.25
470,472,3,3,0.77,0.57,0.66,1,23,23,0.06589999999999997,0.01022285931308469,-0.010607684440159413,0.18643175756503327,1,2.25,1,2.25
473,474,2,2,0.762,0.508,0.508,1,18,18,0.050159999999999996,-0.07221259881700966,0.04584522738844749,0.23963332084548616,1,2.25,1,2.25
475,477,2,2,0.762,0.508,0.508,1,15,15,0.04665999999999999,-0.09054004346133034,-0.07913387096063673,0.14576258328138045,1,2.25,1,2.25
478,482,4,4,0.762,0.762,0.762,1,38,38,0.10894999999999999,-0.04661379646589452,0.051192139777948606,0.10618050072757598,0,2.25,1,2.25
483,485,2,2,0.762,0.508,0.508,1,22,22,0.06324999999999997,-0.006455066887514681,0.10342443122213481,0.16076864453011358,0,2.25,1,2.25
486,503,7,7,1.075,0.87,0.9,0,92,87,0.2627,-0.08349490895842476,-0.1603676517570826,-0.07998411510051455,1,2.25,1,2.25
