,ac,acmain,acnew,actl,acfl,wcsmain,wcsnew,wcstl,wcsfl
10,0.8525000214576721,0.5809999942779541,0.3157500006258488,0.5897500038146972,0.37775000035762785,0.5375000238418579,0.10249999910593033,0.5400000214576721,0.0625
20,0.8525000214576721,0.584499990940094,0.46100000143051145,0.6082500040531158,0.5574999988079071,0.5450000166893005,0.18250000476837158,0.5774999856948853,0.3774999976158142
30,0.8525000214576721,0.5794999957084656,0.48000001162290573,0.6070000052452087,0.5825000017881393,0.5550000071525574,0.13500000536441803,0.5550000071525574,0.4675000011920929
40,0.8525000214576721,0.582750004529953,0.5572499990463257,0.6502500057220459,0.6160000026226043,0.5450000166893005,0.5099999904632568,0.5475000143051147,0.5
50,0.8525000214576721,0.5727500021457672,0.5957500040531158,0.6189999938011169,0.6027499973773957,0.550000011920929,0.5149999856948853,0.5525000095367432,0.5274999737739563
60,0.8525000214576721,0.5764999985694885,0.6334999978542328,0.6749999940395355,0.6252500057220459,0.5249999761581421,0.5674999952316284,0.5649999976158142,0.5824999809265137
70,0.8525000214576721,0.576500004529953,0.6307499945163727,0.6994999945163727,0.6574999988079071,0.5350000262260437,0.5575000047683716,0.5724999904632568,0.5625
80,0.8525000214576721,0.5860000014305115,0.6652499973773957,0.6817499935626984,0.657750004529953,0.5350000262260437,0.5724999904632568,0.5550000071525574,0.5975000262260437
90,0.8525000214576721,0.5742500007152558,0.6627499997615814,0.6892499983310699,0.6247500002384185,0.5475000143051147,0.5799999833106995,0.5874999761581421,0.5475000143051147
100,0.8525000214576721,0.5777500033378601,0.6677500009536743,0.720500010251999,0.6549999952316284,0.5350000262260437,0.5375000238418579,0.6650000214576721,0.5699999928474426
110,0.8525000214576721,0.579749995470047,0.6902500033378601,0.7232499957084656,0.6642499983310699,0.5550000071525574,0.6650000214576721,0.5824999809265137,0.550000011920929
120,0.8525000214576721,0.582749992609024,0.6917500138282776,0.7067499995231629,0.6504999995231628,0.5375000238418579,0.6100000143051147,0.625,0.612500011920929
130,0.8525000214576721,0.5724999964237213,0.6960000038146973,0.7195000052452087,0.6380000054836273,0.5325000286102295,0.6225000023841858,0.6025000214576721,0.6000000238418579
140,0.8525000214576721,0.5837500035762787,0.7137500047683716,0.74549999833107,0.6452499985694885,0.5575000047683716,0.6675000190734863,0.6850000023841858,0.5849999785423279
150,0.8525000214576721,0.5745000064373016,0.7349999964237213,0.7530000030994415,0.6572499990463256,0.5049999952316284,0.6899999976158142,0.6575000286102295,0.5699999928474426
160,0.8525000214576721,0.5727500021457672,0.7180000066757202,0.7582500040531158,0.676500004529953,0.5199999809265137,0.6625000238418579,0.7200000286102295,0.6549999713897705
170,0.8525000214576721,0.5707499921321869,0.7089999973773956,0.7475000023841858,0.6345000028610229,0.5099999904632568,0.675000011920929,0.675000011920929,0.5975000262260437
180,0.8525000214576721,0.5684999942779541,0.7252499997615814,0.7180000007152557,0.6439999938011169,0.5274999737739563,0.6825000047683716,0.5824999809265137,0.5924999713897705
190,0.8525000214576721,0.5712500035762786,0.7417500019073486,0.7584999978542328,0.6699999988079071,0.5400000214576721,0.7099999785423279,0.6924999952316284,0.6225000023841858
200,0.8525000214576721,0.57325000166893,0.7612500011920929,0.7712499976158143,0.6564999938011169,0.5350000262260437,0.699999988079071,0.7275000214576721,0.5649999976158142
210,0.8525000214576721,0.5512499928474426,0.7307499945163727,0.7449999928474427,0.6582499921321869,0.5174999833106995,0.6775000095367432,0.6474999785423279,0.6299999952316284
220,0.8525000214576721,0.5879999995231628,0.7547500014305115,0.7527500033378601,0.6677499949932099,0.550000011920929,0.6899999976158142,0.7300000190734863,0.6299999952316284
230,0.8525000214576721,0.5834999978542328,0.7572499990463257,0.7777499914169311,0.66875,0.5325000286102295,0.7024999856948853,0.75,0.6100000143051147
240,0.8525000214576721,0.570250004529953,0.7499999940395355,0.7752499938011169,0.6700000047683716,0.5299999713897705,0.699999988079071,0.7475000023841858,0.6274999976158142
250,0.8525000214576721,0.5762499928474426,0.7439999997615814,0.7569999992847443,0.6552500009536744,0.5450000166893005,0.6650000214576721,0.699999988079071,0.574999988079071
260,0.8525000214576721,0.5627499938011169,0.7622499942779541,0.7672500014305115,0.6597500085830689,0.4975000023841858,0.7200000286102295,0.737500011920929,0.5975000262260437
270,0.8525000214576721,0.5809999942779541,0.7615000009536743,0.7777499973773956,0.6775000095367432,0.5299999713897705,0.6974999904632568,0.7425000071525574,0.6075000166893005
280,0.8525000214576721,0.5687499940395355,0.7564999997615814,0.7797500014305114,0.6669999957084656,0.550000011920929,0.6850000023841858,0.7024999856948853,0.6399999856948853
290,0.8525000214576721,0.5784999966621399,0.7572499930858612,0.7880000054836274,0.6700000047683716,0.5375000238418579,0.6949999928474426,0.762499988079071,0.6349999904632568
300,0.8525000214576721,0.5805000007152558,0.7727500021457672,0.795499986410141,0.6832499921321868,0.550000011920929,0.7074999809265137,0.7699999809265137,0.6100000143051147
