frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,6,5,5,1.17,0.77,0.66,1,48,48,0.11186,0.17665724135305305,-0.0681499750185005,0.273537073127044,1,2.5,1,2.5
7,11,4,4,0.762,0.762,0.762,1,42,42,0.11452999999999998,-0.09337336979208992,0.0665351542020027,-0.3804712934047615,1,2.5,1,2.5
12,20,9,9,1,0.8,1.12,1,83,83,0.23718999999999996,-0.09849995189867815,0.062244427331206366,0.2942718778216426,0,2.5,1,2.5
21,25,5,5,1.17,0.77,0.66,1,35,35,0.09653999999999999,-0.11085096961206203,-0.12392097145665061,0.33324793163127764,0,2.5,1,2.5
26,49,8,8,0.66,0.77,1.17,0,65,63,0.19553,-0.06825904785087901,-0.01254945944350434,-0.19459553961953593,1,2.5,1,2.5
50,53,2,2,0.762,0.508,0.508,1,23,23,0.06950999999999999,0.030739797402332462,0.07720806099973067,-0.29982649563909974,0,2.5,1,2.5
54,62,9,9,1,0.8,1.12,1,84,84,0.23884999999999995,-0.13099977906516896,0.026725519978702972,0.018834393659005425,0,2.5,1,2.5
63,63,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.005598684566168769,-0.02459566397445007,-0.19288128770136242,0,2.5,1,2.5
64,66,2,2,0.762,0.508,0.508,1,24,24,0.06798999999999998,0.1372051486509706,0.04905053277230208,-0.2633396611111305,0,2.5,1,2.5
67,91,8,8,0.66,0.77,1.17,0,66,63,0.22396,-0.09766062455213523,-0.038529036766141035,-0.685951743796883,1,2.5,1,2.5
92,93,1,1,0.457,0.457,0.457,1,10,10,0.0312,-0.011218529095823661,0.0013333033885747473,-0.1541389268539429,1,2.5,1,2.5
94,104,9,9,1,0.8,1.12,1,81,81,0.20354,-0.08768117207219174,-0.10815484209959852,0.5463710160867027,1,2.5,1,2.5
105,107,1,1,0.457,0.457,0.457,1,18,18,0.05404999999999999,0.011005823607928454,0.030422858080636488,0.18062153855160204,1,2.5,1,2.5
108,110,2,2,0.762,0.508,0.508,1,25,25,0.07091999999999998,-0.07429529016469022,-0.03939163654656081,0.07625687293460594,1,2.5,1,2.5
111,114,2,2,0.762,0.508,0.508,1,15,15,0.050269999999999995,-0.09114475926396304,-0.033467081104086,0.08073021127710109,1,2.5,1,2.5
115,122,6,6,0.915,0.915,0.915,1,75,75,0.21391000000000002,-0.01959428654907129,0.14528920155563,-0.34099414392418576,0,2.5,1,2.5
123,137,7,7,1.075,0.87,0.9,1,100,100,0.29838000000000003,0.078680772859735,0.11137132608293267,-0.02275535531137566,1,2.5,1,2.5
138,142,4,4,0.762,0.762,0.762,1,46,46,0.12331999999999997,0.015365564860004946,0.016877610838301388,0.035984713383970225,1,2.5,1,2.5
143,146,4,4,0.762,0.762,0.762,1,38,38,0.10561999999999998,-0.09697235312855368,-0.0722984721264064,0.14933343414733205,0,2.5,1,2.5
147,152,4,4,0.762,0.762,0.762,1,61,61,0.16846999999999995,0.007469102644174841,-0.008566281253332053,-0.04988128956161588,0,2.5,1,2.5
153,154,1,1,0.457,0.457,0.457,1,7,7,0.02409,-0.0031160803995913117,-0.02495654370420909,0.42282672785155384,1,2.5,1,2.5
155,159,4,4,0.762,0.762,0.762,1,53,53,0.14449999999999996,0.044267089878413976,-0.1250772542766626,-0.048152905468608516,0,2.5,1,2.5
160,162,2,2,0.762,0.508,0.508,1,18,18,0.05404999999999999,0.020039235870215583,-0.20619617078868005,0.033200055051941055,1,2.5,1,2.5
163,173,7,7,1.075,0.87,0.9,1,92,92,0.20622999999999997,0.09288027070806601,-0.06015189698658298,-0.7643910847676151,1,2.5,1,2.5
