frameini,framelst,boxnum,boxoriginal,L,W,H,read,tags,tagsread,readtime,despX,despY,theta,vhr,ha,hb,d
0,6,5,5,1.17,0.77,0.66,1,65,65,0.13876999999999998,0.42274784977841967,-0.23108629121119625,0.15696241197357577,1,2.5,1,2.5
7,14,5,5,1.17,0.77,0.66,1,71,71,0.17445999999999995,0.13640876032513846,-0.13669069644655588,-0.26267941041110277,1,2.5,1,2.5
15,15,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.039598899936998416,-0.004941711035763437,-0.11575123143705598,0,2.5,1,2.5
16,16,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.0370064019034728,-0.08398116079080756,-0.13032575981014075,0,2.5,1,2.5
17,19,3,3,0.77,0.57,0.66,1,25,25,0.06826999999999998,0.008656950985933937,-0.04979501468478475,0.3453227646937091,1,2.5,1,2.5
20,29,6,6,0.915,0.915,0.915,1,88,88,0.2518099999999999,-0.1060083181831697,0.06389534118305289,0.254656741760619,0,2.5,1,2.5
30,37,6,6,0.915,0.915,0.915,1,73,73,0.20274999999999996,-0.08502618650767421,0.15449690545526443,-0.255397694563856,0,2.5,1,2.5
38,40,2,2,0.762,0.508,0.508,1,19,19,0.05613999999999998,0.020371197322188714,-0.05321017913120693,-0.09497712494393427,1,2.5,1,2.5
41,48,5,5,1.17,0.77,0.66,1,65,65,0.18184999999999998,-0.1176027472908141,-0.03262527008694397,0.04086477975451006,1,2.5,1,2.5
49,60,7,7,1.075,0.87,0.9,1,100,100,0.2341,0.15282015430085272,0.07190455634888797,-0.37898343881456975,1,2.5,1,2.5
61,67,6,6,0.915,0.915,0.915,1,61,61,0.17319999999999994,-0.07693201406874074,0.037097730359906135,0.42428489416114273,0,2.5,1,2.5
68,69,1,1,0.457,0.457,0.457,1,15,15,0.04276999999999999,-0.02809418519583985,0.01814454767037834,0.015416819852764704,0,2.5,1,2.5
70,73,4,4,0.762,0.762,0.762,1,38,38,0.10505999999999996,0.06564227074735624,-0.10952792834827701,-0.3991487785415905,0,2.5,1,2.5
74,85,7,7,1.075,0.87,0.9,1,93,93,0.24245999999999995,0.03824161298151378,-0.04456660413375779,0.5619007328081347,1,2.5,1,2.5
86,94,6,6,0.915,0.915,0.915,1,82,82,0.21779999999999994,-0.047800066484756876,-0.08430749038116109,0.0693918499285659,1,2.5,1,2.5
95,95,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,-0.0065378486028725025,0.016230562905216545,-0.17141934941960293,0,2.5,1,2.5
96,98,2,2,0.762,0.508,0.508,1,19,19,0.056139999999999975,-0.045606881847058654,0.003087653198852476,-0.6645075640614718,1,2.5,1,2.5
99,101,2,2,0.762,0.508,0.508,1,20,20,0.05850999999999998,0.0022716753033323557,-0.1949621707853606,-0.2619164486806137,1,2.5,1,2.5
102,111,7,7,1.075,0.87,0.9,1,90,90,0.25836,0.09346690078706149,0.12768230242791703,-0.3084670559204625,0,2.5,1,2.5
112,114,1,1,0.457,0.457,0.457,1,15,15,0.04665999999999999,-0.037417688015251006,-0.08257495850950147,-0.4762344923002017,1,2.5,1,2.5
115,117,2,2,0.762,0.508,0.508,1,19,19,0.05585999999999999,0.06458225242189657,0.09260471269911474,0.13484091035785983,0,2.5,1,2.5
118,120,2,2,0.762,0.508,0.508,1,13,13,0.041639999999999996,0.0025233702949806784,0.19530378474249807,0.08981796153486658,1,2.5,1,2.5
121,122,1,1,0.457,0.457,0.457,1,10,10,0.030919999999999996,-0.061383515549562506,0.10781421766092078,0.619461299974874,1,2.5,1,2.5
123,123,0,0,0.229,0.152,0.152,1,1,1,0.005980000000000001,0.0028386951583720555,-0.02529440240839927,-0.37087696294074474,0,2.5,1,2.5
124,125,1,1,0.457,0.457,0.457,1,7,7,0.023809999999999998,-0.12953736011432487,0.030111983614511596,0.11945721401782826,1,2.5,1,2.5
126,131,5,5,1.17,0.77,0.66,1,58,58,0.15536999999999998,-0.08379077608444085,-0.27711864988605084,0.3752888238158322,1,2.5,1,2.5
132,136,4,4,0.762,0.762,0.762,1,44,44,0.12344999999999998,-0.015521207079487205,-0.033187375796061847,0.22506724445967421,0,2.5,1,2.5
137,140,4,4,0.762,0.762,0.762,1,34,34,0.09529999999999997,0.04061443833471419,0.20933552066410852,0.7026094994942214,0,2.5,1,2.5
141,144,5,5,1.17,0.77,0.66,1,42,42,0.1098,-0.2542245226642082,-0.017289011782146767,0.13257476882620825,0,2.5,1,2.5
