,ac,acmain,acnew,actl,acfl,wcsmain,wcsnew,wcstl,wcsfl
10,0.7699999809265137,0.6669999957084656,0.30425000488758086,0.6742500066757202,0.528250002861023,0.6175000071525574,0.12999999523162842,0.6175000071525574,0.0
20,0.7699999809265137,0.6504999995231628,0.45424999892711637,0.6715000092983245,0.6377499967813491,0.6100000143051147,0.2549999952316284,0.6100000143051147,0.4650000035762787
30,0.7699999809265137,0.6647499978542328,0.4872500002384186,0.7044999957084656,0.6642499983310699,0.6274999976158142,0.3449999988079071,0.6449999809265137,0.5400000214576721
40,0.7699999809265137,0.6547500014305114,0.5107499957084656,0.7185000061988831,0.7107500076293946,0.5874999761581421,0.35749998688697815,0.6625000238418579,0.6050000190734863
50,0.7699999809265137,0.6625,0.5487500041723251,0.7207500040531158,0.6810000002384186,0.637499988079071,0.4050000011920929,0.6600000262260437,0.5375000238418579
60,0.7699999809265137,0.645250004529953,0.579749995470047,0.715750002861023,0.6537500023841858,0.6050000190734863,0.512499988079071,0.6324999928474426,0.5924999713897705
70,0.7699999809265137,0.6672500014305115,0.6152499914169312,0.7155000030994415,0.7082500100135803,0.625,0.5174999833106995,0.6625000238418579,0.5824999809265137
80,0.7699999809265137,0.6542500019073486,0.6297500014305115,0.7282500028610229,0.722000002861023,0.6200000047683716,0.5325000286102295,0.6850000023841858,0.6850000023841858
90,0.7699999809265137,0.6669999957084656,0.6352500021457672,0.7335000038146973,0.7204999983310699,0.6299999952316284,0.5950000286102295,0.675000011920929,0.6675000190734863
100,0.7699999809265137,0.6617500007152557,0.6455000042915344,0.722000002861023,0.7119999945163726,0.6000000238418579,0.6025000214576721,0.6100000143051147,0.625
110,0.7699999809265137,0.6740000069141387,0.6759999990463257,0.7267499983310699,0.7414999961853027,0.6549999713897705,0.6200000047683716,0.6675000190734863,0.699999988079071
120,0.7699999809265137,0.6495000004768372,0.6619999945163727,0.7394999921321869,0.7242499947547912,0.6000000238418579,0.6225000023841858,0.7074999809265137,0.6875
130,0.7699999809265137,0.6527499914169311,0.6735000014305115,0.7292500019073487,0.7147499918937683,0.612500011920929,0.637499988079071,0.6625000238418579,0.6899999976158142
140,0.7699999809265137,0.6685000002384186,0.676500004529953,0.7324999928474426,0.7245000004768372,0.6274999976158142,0.6274999976158142,0.6575000286102295,0.6825000047683716
150,0.7699999809265137,0.6672500014305115,0.6600000083446502,0.7447500050067901,0.7272499918937683,0.6150000095367432,0.6050000190734863,0.6600000262260437,0.6974999904632568
160,0.7699999809265137,0.6587499976158142,0.6969999969005585,0.7494999945163727,0.7397500038146972,0.6349999904632568,0.5874999761581421,0.7099999785423279,0.6700000166893005
170,0.7699999809265137,0.6632499992847443,0.7137499928474427,0.7487499952316284,0.7437500059604645,0.6349999904632568,0.675000011920929,0.6875,0.7149999737739563
180,0.7699999809265137,0.6370000004768371,0.6849999964237213,0.7324999988079071,0.7182500004768372,0.6025000214576721,0.6000000238418579,0.6875,0.6800000071525574
190,0.7699999809265137,0.6524999976158142,0.7037499964237213,0.7369999945163727,0.7292499959468841,0.6000000238418579,0.6625000238418579,0.6800000071525574,0.699999988079071
200,0.7699999809265137,0.6509999990463257,0.7285000026226044,0.7382499992847442,0.727999997138977,0.6050000190734863,0.7024999856948853,0.7174999713897705,0.7049999833106995
210,0.7699999809265137,0.6459999978542328,0.6987500011920929,0.7412499964237214,0.7237500011920929,0.5924999713897705,0.6449999809265137,0.675000011920929,0.6775000095367432
220,0.7699999809265137,0.6444999933242798,0.7254999935626983,0.7447499990463257,0.72325000166893,0.612500011920929,0.6524999737739563,0.6899999976158142,0.6850000023841858
230,0.7699999809265137,0.6602499961853028,0.7027500092983245,0.7372500002384186,0.7337499976158142,0.6274999976158142,0.6650000214576721,0.6949999928474426,0.7099999785423279
240,0.7699999809265137,0.6602500021457672,0.7397500038146972,0.7639999985694885,0.7362500011920929,0.6000000238418579,0.675000011920929,0.7425000071525574,0.6924999952316284
250,0.7699999809265137,0.6577499985694886,0.7150000095367431,0.7502499997615815,0.7317500054836273,0.6274999976158142,0.6800000071525574,0.6875,0.7024999856948853
260,0.7699999809265137,0.6597500145435333,0.7272499978542328,0.7629999935626983,0.7457500040531159,0.6150000095367432,0.6650000214576721,0.7124999761581421,0.6924999952316284
270,0.7699999809265137,0.6657500028610229,0.7482500076293945,0.754999989271164,0.7430000007152557,0.6025000214576721,0.6449999809265137,0.699999988079071,0.7074999809265137
280,0.7699999809265137,0.6612500011920929,0.7557500064373016,0.760999995470047,0.7500000059604645,0.6299999952316284,0.6675000190734863,0.7325000166893005,0.7250000238418579
290,0.7699999809265137,0.6722500026226044,0.7652499973773956,0.7627499997615814,0.7475000023841858,0.6499999761581421,0.7300000190734863,0.7049999833106995,0.7200000286102295
300,0.7699999809265137,0.6785000026226043,0.7585000038146973,0.7547500014305115,0.7477500021457673,0.6549999713897705,0.7124999761581421,0.7099999785423279,0.7200000286102295
